patient_id,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29,expression_30,expression_31,expression_32,expression_33,expression_34,expression_35,expression_36,expression_37,expression_38,expression_39,expression_40,expression_41,expression_42,expression_43,expression_44,expression_45,expression_46,expression_47,expression_48,expression_49,expression_50,expression_51,expression_52,expression_53,expression_54,expression_55,expression_56,expression_57,expression_58,expression_59,expression_60,expression_61,expression_62,expression_63,expression_64,expression_65,expression_66,expression_67,expression_68,expression_69,expression_70,expression_71,expression_72,expression_73,expression_74,expression_75,expression_76,expression_77,expression_78,expression_79,expression_80,expression_81,expression_82,expression_83,expression_84,expression_85,expression_86,expression_87,expression_88,expression_89,expression_90,expression_91,expression_92,expression_93,expression_94,expression_95,expression_96,expression_97,expression_98,expression_99,expression_100
TCGA-E5-A4U1,CD171:4.368812,MYH11:3.8272,CAVEOLIN1:3.6043,FGF-basic:-3.324025,CD86:2.872068,HMHA1:-2.86174,YTHDF2:-2.856298,EMA:-2.729216,RBM15:-2.6956,ATRX:-2.366436,CDT1:2.332854,HSP70:2.2522,Stat3:-2.215827,STING:-2.21429,EEF2:-2.1805,SYK:-2.12,Vinculin:2.110993,VAV1:-2.10582,ALKBH5:-2.103461,TUBERIN:-2.0116,TRIM25:-1.982475,Atg5:-1.975072,STAT5ALPHA:-1.957,53BP1:-1.9364,PTEN:-1.9093,AKT:-1.8637,ATM:-1.853,PLC-gamma1:-1.847996,Histone-H3:-1.765204,KU80:-1.6999,Glucocorticoid-Receptor:-1.690636,YTHDF3:-1.67456,COLLAGENVI:1.6483,BETACATENIN:-1.6166,RICTOR:1.5897,SGK3:1.582341,S6:-1.5635,Erk5:-1.503229,P70S6K1:-1.4987,PAK1:-1.447686,IL-6:1.44327,GATA3:1.42,TSC1:-1.396,HLA-DQA1:-1.357194,Akt2:-1.342195,ACVRL1:1.3313,WTAP:-1.313737,RIP:-1.299389,RSK1:-1.293195,STATHMIN:1.2895,PAK4:1.286041,GSK-3B:-1.283336,c-IAP2:-1.280605,ZAP-70:-1.273158,KAP1:-1.251236,DVL3:-1.2162,PDGFRB:-1.215296,SNAIL:1.2032,SGK1:1.196767,DRP1:-1.192838,EIF4G:-1.1922,NCADHERIN:1.178,YAP:1.1746,Tau:1.170677,Aurora-B:1.163336,P21:1.1602,SRC:1.1498,LKB1:1.1484,NF2:-1.1374,Mitofusin-1:-1.129989,ANNEXIN1:-1.1219,U-Histone-H2B:-1.119539,Wee1:-1.117788,TRAP1:-1.117556,BCL2A1:1.1168,TAZ:1.1028,RAB11:1.077,Creb:1.066479,ZEB1:1.056737,Cdc42:1.053278,MTOR:-1.0462,CMET:1.0397,RB:1.035,HSP60:1.03145,METTL3:-1.020669,Mitofusin-2:-1.008778,TFRC:-1.0075,ACSL1:-1.002063,BID:0.99614,JAK2:-0.9939,Mnk1:-0.9926648,MRE11:0.98139,HSP27:0.9779274,GCLC:0.9774338,CKIT:0.97079,DM-Histone-H3:0.9558087,CD44:0.9540722,4EBP1:-0.94963,PAR:0.9496248,1433ZETA:0.94543
TCGA-CF-A3MF,UGT1A:3.711545,EMA:-3.425696,INPP4B:3.094,EPPK1:2.8874,HLA-DQA1:-2.654932,Cyclophilin-F:2.57603,LAD1:2.486725,MTCO1:2.439858,SRC:2.2809,CYCLINE1:2.1268,HMHA1:-2.014847,S100A4:1.873792,CLAUDIN7:1.8614,ATP5A:1.829526,Tau:1.762221,DUSP6:1.754297,VAV1:-1.742199,ERALPHA:-1.7414,GATA3:1.6622,HER2:1.6431,EVI1:1.626838,EphA2:1.60092,CD49B:1.5781,RAB25:1.5432,IR-b:1.485281,STING:-1.481481,VASP:1.467712,Histone-H3:1.431642,Wee1:1.387674,SGK3:-1.329323,ECADHERIN:1.3231,VEGFR2:1.3021,U-Histone-H2B:-1.293832,FIBRONECTIN:-1.2874,PAR:-1.260817,Rad23A:1.226021,Glucocorticoid-Receptor:-1.219823,PAXILLIN:1.2166,ASNS:-1.1851,HSP70:-1.1804,PAX8:1.180345,SOD2:-1.153182,ZAP-70:-1.152975,SIRP-alpha:-1.145302,PDCD4:1.1253,PTEN:1.1162,NQO1:-1.092142,CASPASE7CLEAVEDD198:-1.0919,IDO:-1.084659,CD4:-1.083712,GAB2:-1.0712,BRAF:1.0504,SMAC:1.0454,BETACATENIN:1.0341,CDT1:-1.025866,XIAP:1.000224,ACETYLATUBULINLYS40:-0.99486,CD44:-0.9911701,Mcl-1:-0.9812342,cdc25C:0.9767213,Glutamate-D1-2:0.9696455,ANNEXIN1:-0.96713,DDR1:0.9662853,MMP14:-0.9655943,PLK1:-0.9645719,XPA:-0.9571402,Cox-IV:0.9397443,Mitofusin-1:0.935664,Mitofusin-2:0.9222262,Caspase-8-cleaved:-0.9177669,UQCRC2:0.9129422,Hexokinase-I:0.9112413,B7-H3:-0.9105027,SYK:-0.87713,TRIM25:0.8668344,CHK2:0.86343,CYCLINB1:-0.8623,SLC1A5:0.84533,IGFBP3:0.8331501,MCT4:0.8271082,PKA-a:-0.8192695,AR:-0.81443,PKCALPHA:0.7962,BCL2:-0.78857,PAX6:-0.7774965,ATRX:0.7749695,GRB7:0.7689517,TFAM:0.7681429,DUSP4:0.75594,Aurora-A:-0.7527795,ALKBH5:0.746225,PAI1:0.73558,Connexin-43:0.7283222,Atg7:0.7278257,Vinculin:0.7220751,IRS2:0.7212502,DRP1:0.720979,NCADHERIN:-0.71076,RPA32:0.709462,MEK1:0.70594
TCGA-CF-A8HY,EphA2:3.1589,UGT1A:3.0168,EMA:-2.829036,FASN:2.3839,EVI1:2.24384,HMHA1:-2.17105,PAI1:2.1623,LAD1:2.137769,HLA-DQA1:-2.055194,SRC:2.0544,MTCO1:2.042325,INPP4B:2.0013,MYH11:1.9681,IGFBP3:1.872252,Connexin-43:1.809573,WIPI1:1.77638,VASP:1.7678,HER2:1.6969,GATA3:1.6253,ERALPHA:-1.6245,ZAP-70:-1.545503,PDGFRB:-1.481472,CD86:1.40086,P16INK4A:-1.39,IGFBP2:-1.3725,PAR:1.346146,U-Histone-H2B:-1.28674,IR-b:1.25702,CD171:1.235116,Hexokinase-II:1.184617,RAB25:1.1322,Cyclophilin-F:1.106901,BAK:-1.0407,SIRP-alpha:-1.0367,HES1:1.031842,ACC1:1.0268,CLAUDIN7:1.0216,GAPDH:-1.0011,VAV1:-0.9925419,CD4:-0.9827959,GAB2:-0.98097,XIAP:0.974865,ANNEXIN1:-0.95378,Rheb:-0.9475063,ERRalpha:0.9283536,SOD2:-0.9165769,XPA:-0.8903635,ETS1:-0.88578,EPPK1:0.87537,SMAD3:0.87378,ATRX:0.8650389,GRB7:0.8507937,SYK:-0.82781,Wee1:0.8015628,DUSP6:0.7944647,EGFR:0.77823,IGFRb:0.7767655,CASPASE7CLEAVEDD198:-0.77532,PREX1:-0.75631,Gli3:0.7558843,IRS1:0.75577,DRP1:0.7518539,PAXILLIN:0.75087,ECADHERIN:0.73892,ACETYLATUBULINLYS40:-0.73014,PCNA:-0.72336,CD44:-0.7126532,RSK1:0.7126475,MEK1:0.70595,DDB-1:0.7032266,DDR1:0.6936663,Caspase-8-cleaved:-0.6931582,BCL2:-0.69156,Glucocorticoid-Receptor:-0.6883952,Histone-H3:-0.6835508,Cox-IV:0.6819298,Vinculin:0.6773073,LC3A-B:-0.6715589,HSP70:-0.65554,ACSL1:-0.6521216,Creb:-0.6394739,ATP5H:-0.6379172,Granzyme-B:-0.6050621,CtIP:-0.5963055,P70S6K1:0.59027,cdc25C:0.590251,TRANSGLUTAMINASE:-0.57789,LCK:-0.57633,IRF-3:0.5711955,MITF:-0.570694,b-Actin:-0.5673794,PKCALPHA:0.56718,PMS2:0.5623307,B7-H3:-0.5608955,BETACATENIN:0.54276,Tau:-0.5416729,Puma:-0.5389701,DNMT1:0.5291049,ATM:0.513,IRF1:-0.49883
TCGA-E7-A85H,EMA:-3.144405,FGF-basic:2.696518,GATA3:2.5282,UGT1A:2.519323,Connexin-43:2.31225,MYH11:2.224,GAPDH:-2.1784,4EBP1:1.9094,IDO:1.846651,CD86:1.760852,EPPK1:1.6379,MTCO1:1.633638,B7-H3:-1.511565,ATP5A:1.359847,SRC:1.1763,HER2:1.1448,CSK:1.131617,c-IAP2:-1.107683,EVI1:1.055538,RRM2:1.045839,Aurora-B:1.042062,PAR:-1.02178,NQO1:-1.00265,RIP:1.001137,PDCD4:-0.98865,Mitofusin-1:0.9736467,IGFRb:-0.9553364,CHK2:0.95058,INPP4B:0.94117,IGFBP2:-0.93828,MSH6:0.91886,PAICS:0.8989464,U-Histone-H2B:-0.8981544,BRAF:0.89715,GRB7:0.8857442,CD45:0.8691626,Atg7:0.8383459,Enolase-2:-0.79787,MSH2:0.79708,WTAP:0.7611693,CASPASE7CLEAVEDD198:0.76029,PAX8:-0.7542718,ETS1:-0.74328,Caspase-8-cleaved:-0.73701,PERK:0.7357984,MLKL:0.7329335,cdc25C:0.7235479,P53:0.7223,HER3:0.70945,ERALPHA:-0.70404,EphA2:0.7038988,CtIP:-0.6939313,ACETYLATUBULINLYS40:-0.69,Stat3:-0.6825834,VEGFR2:-0.68114,SYK:0.67335,CYCLINB1:0.67101,PHGDH:0.6536859,HES1:0.6532676,STING:-0.6436165,CD4:0.6363418,PAK4:0.6258931,AMPKALPHA:-0.62557,Mitofusin-2:-0.6215445,HSP70:0.61842,SHP2:-0.6168306,MIF:-0.61592,IL-6:0.6124862,PMS2:0.6104965,VAV1:0.6036782,ZAP-70:-0.5965575,MMP2:-0.5930559,ECADHERIN:0.58365,PLC-gamma1:0.574406,G6PD:0.56993,D-a-Tubulin:0.5693671,ERRalpha:0.5685433,RAB25:0.56617,MERIT40:-0.5635972,PAI1:0.56323,CRAF:0.54539,PTPN12:-0.5436397,Cyclophilin-F:0.5433107,Lasu1:0.54175,SMAD3:-0.53811,IGFBP3:0.5355205,DDB-1:0.5287291,FOXM1:0.52822,ADAR1:0.528,YTHDF3:0.5267453,SDHA:0.5239026,RSK1:-0.5203778,DIRAS3:0.51594,XPA:-0.5136784,DRP1:0.501104,NDUFB4:-0.4985756,EEF2:-0.49654,ATP5H:-0.4898729,PREX1:0.48459,Atg3:0.4823397
TCGA-E7-A541,FGF-basic:4.828956,GCLC:4.004942,EPPK1:3.7004,UGT1A:3.376615,RRM2:2.797817,MYH11:2.4902,ATP5A:2.400793,EMA:-1.991849,GATA3:1.9863,EVI1:1.917161,ERALPHA:-1.5792,BRAF:1.5446,U-Histone-H2B:-1.532307,Atg5:-1.40207,IDO:1.366248,SRC:1.3337,Cox2:1.311947,IR-b:1.295928,D-a-Tubulin:1.285149,PHLPP:1.217289,EEF2K:1.2007,VASP:1.149656,MLKL:1.120924,KAP1:1.109934,CD171:-1.109684,Glucocorticoid-Receptor:-1.105884,IGFBP3:1.090647,ZAP-70:-1.067371,Histone-H3:1.067332,MTCO1:1.06177,CRAF:1.0514,AceCS1:-0.9992377,MSH6:0.99525,CD86:0.9787845,PLC-gamma1:0.9768221,PAI1:0.97298,CAVEOLIN1:0.96219,PCNA:0.93789,DNA_POLG:-0.9377002,RAB25:0.91885,HER2:0.91859,Aurora-B:0.9112414,PAR:0.8907633,Rad23A:0.8847918,HLA-DQA1:-0.8739315,TFRC:0.87083,MMP2:-0.8648459,VAV1:-0.85019,NOTCH1:0.84567,UQCRC2:0.8217327,METTL3:0.8087568,Slfn11:0.8077969,XPA:-0.7882774,GAPDH:-0.78207,FASN:0.77963,BIM:0.76706,c-IAP2:-0.7599474,Caspase-8-cleaved:-0.7530019,SGK3:-0.7286451,SOD2:-0.7185466,TUFM:-0.700986,Sox2:0.696374,BAK:-0.69564,p38-a:-0.6955274,FOXM1:0.69122,PERK:0.684655,YTHDF3:0.6752062,CSK:0.6701983,Enolase-2:-0.6640983,Hexokinase-II:0.6606918,CHK1:0.66051,SFRP1:-0.6566188,FN14:0.6540379,WIPI1:0.6453598,PMS2:0.6349659,Mitofusin-1:0.6339287,Connexin-43:0.6330887,ETS1:-0.62709,DNMT1:0.6224013,MITF:-0.6219752,JNK2:-0.62086,MIF:-0.6182625,TRIM24:0.615625,GRB7:0.6118705,PEA15:0.60928,CtIP:-0.6060048,CKIT:0.60286,P16INK4A:0.59613,EphA2:0.5739377,RPA32:0.5650924,LAD1:0.5612345,Mcl-1:0.5567461,CYCLINE1:0.55509,CIITA:0.5546503,HSP70:0.55339,ZEB1:-0.5514316,MSI2:0.547267,DUSP4:-0.54645,BRD4:0.52514,Stat3:-0.5231209
TCGA-ZF-A9RG,IDO:4.386455,EMA:-3.730467,MYH11:3.5046,PAI1:3.075,CD86:3.070444,Granzyme-B:2.539527,MLKL:2.148248,RICTOR:2.1294,CASPASE7CLEAVEDD198:2.0481,ECADHERIN:-1.9714,HER2:-1.6192,CAVEOLIN1:1.575,Rheb:-1.545057,CD171:1.543195,RAB25:-1.5198,TRANSGLUTAMINASE:1.5173,ANNEXIN1:1.507,PDL1:1.4035,BETACATENIN:-1.3054,Wee1:-1.300661,CLAUDIN7:-1.2879,MSH2:-1.2612,PAR:-1.218872,AR:-1.2085,EPPK1:1.2084,c-IAP2:-1.200458,FGF-basic:-1.150627,CMYC:1.1504,ERALPHA:-1.1431,ATRX:-1.122514,Lyn:1.121354,IGFBP2:-1.1019,YTHDF2:-1.097399,RRM2:1.084924,CSK:1.073879,SOD2:1.037373,VAV1:1.031535,EGFR:1.0056,Cdc42:0.997706,GAPDH:-0.96307,PDCD4:-0.95001,CD4:0.9401353,Gli3:0.9385516,Aurora-B:0.9250381,S100A4:0.9205103,GATA3:-0.91634,DDR1:-0.9121178,PREX1:0.90583,SF2:-0.90338,SMAC:-0.87676,DUSP4:-0.86919,ATP5A:0.8497716,CD45:0.8474991,CD44:0.8353361,FIBRONECTIN:0.83273,Slfn11:0.8265345,NDUFB4:-0.8227695,MEK1:0.81625,VASP:0.8063691,HSP70:0.78455,STING:0.771616,ALKBH5:-0.7628886,Atg5:-0.7618002,G6PD:0.75968,HMHA1:0.7592761,STAT5ALPHA:0.75725,FASN:-0.75382,BCL2A1:0.75,U-Histone-H2B:-0.7476007,53BP1:-0.74066,SYK:0.72147,PDGFRB:0.7203546,Grp75:-0.7171709,Gli1:-0.7159138,SGK1:0.7124887,IL-6:0.7120886,CDT1:0.706947,CHK2:-0.6995,WTAP:-0.6992011,PAX8:-0.6988539,MIF:-0.6961919,DUSP6:0.6719207,Mnk1:0.67106,KAP1:-0.6704739,COLLAGENVI:0.66537,TRIM25:-0.6644432,TIGAR:0.66413,Jagged1:0.6541681,TRAP1:-0.6458482,PAK4:0.6397303,Atg7:0.6378028,ASNS:0.63536,SGK3:0.6352713,MMP2:-0.6268017,RBM15:-0.62193,EphA2:0.6154264,DIRAS3:-0.60435,Caspase-8-cleaved:-0.6028648,ACSL1:0.5992589,ACC1:-0.59798
TCGA-BT-A20O,EMA:-4.545551,G6PD:3.7937,GCLC:3.508382,ECADHERIN:-3.5067,FGF-basic:3.458115,EPPK1:-3.33375,P62LCKLIGAND:3.01725,NQO1:2.879014,ATP5A:2.779871,MCT4:2.71351,CASPASE7CLEAVEDD198:2.62915,HMHA1:2.453798,PAI1:2.4055,BETACATENIN:-2.274,ASNS:2.226,Lyn:2.170873,Glutaminase:2.166808,Aurora-B:2.114797,Histone-H3:1.971991,SIRP-alpha:1.966371,AXL:1.9021,RRM2:1.874702,PDCD4:-1.86545,U-Histone-H2B:-1.840739,MYH11:-1.72605,UGT1A:1.692078,IGFBP2:-1.68435,VAV1:1.659901,Atg7:1.656189,ZAP-70:1.648264,WIPI1:1.619722,MLKL:1.605003,ERALPHA:-1.55355,PREX1:1.52795,FIBRONECTIN:1.523725,STAT5ALPHA:1.52235,IDO:1.521298,HES1:-1.485675,DDR1:-1.452606,CD4:1.398915,IGFRb:-1.398203,CYCLINE1:1.3627,Granzyme-B:1.355159,PLC-gamma1:1.337867,RAB25:-1.30055,STING:1.285537,Rad23A:1.259991,VASP:1.259724,Mnk1:1.208923,EEF2:1.2083,CYCLINB1:1.13315,ATM:1.12205,SLC1A5:1.1105,Cyclophilin-F:1.103168,Coup-TFII:-1.099819,CD86:1.091453,Slfn11:1.090099,CLAUDIN7:-1.06375,S100A4:1.050416,DUSP6:1.037268,LCK:1.02839,YTHDF2:1.015522,CSK:1.007864,PKA-a:1.00178,CHD1L:1.000371,RIP:0.9964806,PRDX1:0.99419,CD49B:0.96857,PARG:-0.9540493,MIF:-0.9508374,VEGFR2:0.9506,HER3:-0.93472,SYK:0.932195,PKCALPHA:0.93031,CD134:-0.9179548,PAK4:-0.9026048,Enolase-2:-0.9015576,MLH1:0.888942,SGK3:-0.8885571,TFRC:0.88289,CDT1:-0.8791387,Akt2:0.8723223,JNK2:0.866885,b-Actin:0.859763,XPA:-0.8504114,IRS2:-0.84948,DM-Histone-H3:-0.8265687,PTEN:0.79556,CD171:-0.794831,Grp75:0.7918597,UBAC1:0.7875782,Enolase-1:0.7821114,Tyro3:0.7778618,PLK1:0.7760133,AR:-0.775665,SFRP1:-0.764603,Wee1:-0.7587767,FTO:0.7523004,MTCO1:0.7433673,TUFM:0.7401313
TCGA-FD-A3B7,SIRP-alpha:3.192265,EMA:-3.131266,EPPK1:-2.8294,IDO:2.460285,U-Histone-H2B:-2.438835,CASPASE7CLEAVEDD198:2.3334,PAI1:2.0584,Aurora-B:2.022957,Histone-H3:-1.925776,EGFR:1.8741,MLKL:1.846592,HMHA1:1.746042,CD44:1.578123,S100A4:1.327215,VASP:1.313011,ATRX:-1.292697,HSP70:1.2764,PREX1:1.2508,CD86:1.240891,G6PD:1.2065,SYK:1.1633,Mnk1:1.156807,ANNEXIN1:1.1269,EphA2:1.113385,ECADHERIN:-1.1114,DDR1:-1.108305,KU80:-1.0812,GAPDH:-1.0762,CLAUDIN7:-1.0662,ERALPHA:-1.063,WIPI1:1.029711,STING:1.025986,RAB25:-1.0168,b-Actin:1.006428,FGF-basic:1.002481,DUSP6:1.001009,RRM2:1.000655,HES1:-1.000393,CD49B:0.99546,Rad23A:0.9932411,LAD1:0.9892106,ACETYLATUBULINLYS40:-0.98642,CAVEOLIN1:0.98425,Gli3:0.9805773,HER2:-0.96598,DNA_POLG:-0.9590877,DNA-Ligase-IV:0.9454799,MIF:-0.9454294,BETACATENIN:-0.94287,MCT4:0.932735,CD4:0.931205,IGFBP2:-0.9176,VAV1:0.9100392,Granzyme-B:0.9015168,MMP14:0.8991812,IGFRb:-0.8806286,FIBRONECTIN:0.86963,MYH11:-0.86916,P16INK4A:0.86386,PAX8:-0.8613923,XPA:-0.8609776,CD45:0.8547116,HLA-DQA1:-0.8539724,PERK:-0.8453979,Wee1:-0.8405069,ATM:0.80786,FASN:-0.79858,Caspase-8-cleaved:-0.7984347,TFAM:-0.7913331,IL-6:0.7626168,SOD2:0.7515788,SMAC:-0.75027,FN14:0.7466007,CSK:0.7413012,PAR:-0.7370083,PDL1:0.71514,VEGFR2:0.71474,Tau:0.7074467,PDCD4:-0.70215,XIAP:-0.6982426,LCK:0.69818,ATP5A:0.6876397,Atg7:0.6875944,PLK1:-0.6875723,ZAP-70:0.6720286,Lasu1:-0.6698637,D-a-Tubulin:0.6663437,Lyn:0.6552687,PAICS:-0.6500984,CD171:-0.6164987,DM-K9-Histone-H3:-0.6111215,P21:0.60978,FOXM1:-0.60245,PI3KP85:0.59677,TRAP1:-0.5835094,53BP1:-0.56962,Enolase-1:0.5562533,Puma:-0.5550988,UBAC1:0.554258,Rheb:-0.5483233
TCGA-DK-A3IQ,EMA:-3.219054,GAPDH:-2.5083,FIBRONECTIN:2.0926,HLA-DQA1:-2.05367,UGT1A:1.999597,BRD4:-1.8548,PAR:-1.770565,TFRC:-1.6571,ATRX:-1.449194,RBM15:-1.4318,Connexin-43:1.431433,DUSP4:-1.4277,PLK1:-1.410299,COLLAGENVI:1.4095,CYCLINB1:-1.3878,MYH11:1.3804,ECADHERIN:-1.3677,U-Histone-H2B:-1.363252,Atg4B:1.345824,MLKL:1.291007,CASPASE3:-1.2599,CMYC:1.2177,Rheb:-1.217506,ENY2:-1.216,Aurora-B:1.208291,CLAUDIN7:-1.1848,SMAC:-1.1667,PAICS:-1.143506,PAI1:1.1413,Vinculin:1.139469,FAK:1.120583,ERCC5:-1.1015,JAK2:-1.0992,CYCLINE2:-1.0826,KU80:-1.0612,Gli3:1.026729,DNMT1:-1.023785,CAVEOLIN1:1.0006,DNA-Ligase-IV:0.9868128,S100A4:0.9820036,INPP4B:0.97648,ACSL1:0.9738493,GCN5L2:-0.94456,MMP14:0.9387533,P21:0.93801,EphA2:0.9359508,Puma:-0.9276681,EPPK1:0.9238,S6:-0.91037,MSH6:-0.9001,PAK1:-0.8869091,CD171:0.8816493,BRAF:-0.87289,RAPTOR:0.86916,PAK4:0.8629777,IGFBP3:0.8552438,ALKBH5:-0.8467939,CHK2:-0.83719,BETACATENIN:-0.82816,BCL2A1:0.82031,Wee1:-0.8172972,Caspase-8-cleaved:-0.8147251,SLC1A5:-0.7914,RSK1:-0.7632557,MR1:0.7561006,GATA6:0.7496,Slfn11:0.7454998,DNA_POLG:-0.7444279,BAK:-0.74099,WTAP:-0.7240583,B7-H3:0.7228332,PARPCLEAVED:-0.72031,HER2:-0.69872,Myt1:-0.6929543,MEK1:0.69077,EEF2:-0.68863,Aurora-A:-0.6676896,AXL:0.6674,RAB11:0.66383,ADAR1:-0.65825,DDR1:-0.6541831,TRAP1:-0.6539901,CASPASE7CLEAVEDD198:-0.65264,TFAM:-0.6518319,SMAD3:-0.64326,RAB25:-0.64293,ERALPHA:-0.63844,GCLC:0.6299433,P16INK4A:-0.62857,SF2:-0.62327,CD86:0.6195281,RAD50:-0.59696,Grp75:-0.5933389,Cox-IV:-0.5831893,PCNA:-0.57133,PTEN:0.56432,RAD51:-0.56378,Glutamate-D1-2:-0.5625103,IRS1:0.55593,MTCO1:-0.5512549
TCGA-FD-A3SO,MYH11:4.8913,RICTOR:4.4664,ECADHERIN:-3.0992,PAI1:2.7055,CAVEOLIN1:2.6727,LAD1:2.604317,EPPK1:2.2081,BETACATENIN:-2.0986,MLKL:2.025562,RBM15:-1.9148,RRM2:1.904913,Vinculin:1.846979,Lyn:1.803397,FGF-basic:1.568451,PAR:-1.540726,CD171:1.525988,VEGFR2:1.5019,VAV1:-1.483135,Aurora-B:1.477107,FIBRONECTIN:1.4526,ERALPHA:-1.4308,Histone-H3:1.418615,HER2:-1.4164,Wee1:-1.31416,VASP:1.310126,IDO:1.304693,ATP5A:1.281948,SOD2:1.247562,53BP1:-1.2209,CD44:1.203644,KU80:-1.2003,Lasu1:-1.195645,ATRX:-1.171989,b-Actin:1.170035,PAXILLIN:-1.1241,EMA:1.122685,P16INK4A:1.1178,CKIT:1.0822,EEF2K:-1.0716,PKA-a:1.061847,ANNEXIN1:1.0551,STING:-1.040407,RAB25:1.0138,Slfn11:0.9950029,GAPDH:-0.98913,HLA-DQA1:-0.9830437,DNA-Ligase-IV:0.9719267,CD86:0.9560231,MEK1:0.94362,NQO1:0.9234355,BAK:-0.92125,Rad23A:0.9030666,RSK1:-0.8877374,IGFRb:-0.8609807,PKCALPHA:0.85695,TRANSGLUTAMINASE:0.83976,PLC-gamma1:-0.8188017,Stat3:0.8146534,U-Histone-H2B:-0.8089435,P21:0.80856,TRIP13:0.7931735,COG3:-0.79309,IGFBP2:-0.79297,PARG:-0.783166,COLLAGENVI:0.76306,FASN:-0.75674,PERK:-0.751123,FN14:0.7508138,BAP1C4:-0.74656,ACETYLATUBULINLYS40:-0.73486,PTEN:-0.73476,ACVRL1:0.72822,HES1:-0.7229462,Hexokinase-II:-0.7223493,CD4:0.7164612,PDHA1:0.7145886,DDR1:-0.7038152,TUBERIN:-0.68497,Caspase-8-cleaved:-0.6656922,DNA_POLG:-0.6595085,KAP1:-0.6588857,AR:-0.65309,CD45:0.64024,SMAC:-0.62913,TSC1:0.62174,TUFM:0.6205833,SIRP-alpha:-0.6195246,UBAC1:0.6180272,CYCLINB1:0.61586,HSP70:0.61304,HER3:-0.6108,PREX1:0.60247,PLK1:0.6002413,S6:-0.58514,P38MAPK:0.579,PAK1:-0.569384,Atg5:0.5650356,WIPI1:0.5617517,SMAD3:-0.56023,CD26:0.55972
