patient_id,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29,expression_30,expression_31,expression_32,expression_33,expression_34,expression_35,expression_36,expression_37,expression_38,expression_39,expression_40,expression_41,expression_42,expression_43,expression_44,expression_45,expression_46,expression_47,expression_48,expression_49,expression_50,expression_51,expression_52,expression_53,expression_54,expression_55,expression_56,expression_57,expression_58,expression_59,expression_60,expression_61,expression_62,expression_63,expression_64,expression_65,expression_66,expression_67,expression_68,expression_69,expression_70,expression_71,expression_72,expression_73,expression_74,expression_75,expression_76,expression_77,expression_78,expression_79,expression_80,expression_81,expression_82,expression_83,expression_84,expression_85,expression_86,expression_87,expression_88,expression_89,expression_90,expression_91,expression_92,expression_93,expression_94,expression_95,expression_96,expression_97,expression_98,expression_99,expression_100
TCGA-S3-A6ZG,ERALPHA:5.1478,ECADHERIN:-4.1273,GATA3:3.2336,INPP4B:2.0928,AR:2.0533,BETACATENIN:-2.0204,DUSP4:1.7813,S6:-1.4094,PDCD4:1.1593,Cyclophilin-F:1.12754,TFRC:-1.1219,GAPDH:-1.0601,STING:-1.013755,BCL2:0.99832,EMA:0.9725796,PREX1:0.95762,BAK:-0.95476,Puma:0.944705,ETS1:-0.90336,U-Histone-H2B:0.8965848,LAD1:-0.879385,IGFBP2:0.86323,CYCLINE1:-0.86265,FAK:-0.8103,Glucocorticoid-Receptor:-0.808035,PKCALPHA:-0.80062,IR-b:0.79656,EEF2K:0.77616,CASPASE7CLEAVEDD198:-0.76872,B7-H3:-0.7224109,CLAUDIN7:0.71322,PAI1:0.70892,JNK2:0.70392,ARAF:0.6983,RAB25:0.66318,PLK1:0.6446099,Mcl-1:-0.6437911,PAR:-0.6377905,SGK3:0.636025,ATM:0.63445,ACETYLATUBULINLYS40:-0.63112,P27:0.62889,FASN:0.62822,NQO1:0.6192748,HLA-DQA1:0.6047486,EEF2:-0.59047,ANNEXIN1:-0.56527,COG3:0.56254,EGFR:-0.56203,ZAP-70:0.5619928,PDK1:0.55488,CASPASE3:-0.55472,SMAD3:-0.55381,YTHDF3:-0.5462,P90RSK:0.54047,Connexin-43:-0.5390503,p44-42-MAPK:0.520865,CYCLINE2:-0.50445,RAD51:-0.5013,TRANSGLUTAMINASE:-0.49533,P38MAPK:0.48648,ACC1:0.48615,ASNS:-0.47554,G6PD:-0.47089,FOXM1:-0.46492,ACSL1:-0.46181,PLC-gamma1:-0.4616708,TRAP1:0.45964,Slfn11:-0.4506901,YAP:-0.44217,HER3:0.44036,Hexokinase-II:-0.4307316,P16INK4A:0.42768,CD44:-0.4211651,DJ1:0.41557,RPA32:0.401495,GCLC:-0.400675,AceCS1:-0.3958905,P21:0.39459,RAD50:-0.37692,ADAR1:-0.37257,PAICS:0.3719,NF2:-0.36925,EIF4G:-0.36064,BIM:0.36014,SYK:-0.36007,COLLAGENVI:0.35826,PARPCLEAVED:-0.35819,RBM15:-0.35715,XRCC1:0.35438,VEGFR2:0.35276,HMHA1:-0.3489405,SCD1:-0.34828,Rad23A:0.3450449,CMYC:0.34129,DNMT1:0.3399599,HES1:0.3363198,MERIT40:0.3340744,AKT:0.33173,Enolase-1:-0.3310352
TCGA-A8-A07F,EMA:4.90624960026206,ECADHERIN:-2.62515,COLLAGENVI:2.0878,INPP4B:1.9972,GAPDH:-1.98325,Histone-H3:1.91377985672649,MYH11:1.85145,EPPK1:1.8173,PREX1:1.7584,GATA3:1.7087,CAVEOLIN1:1.673,AR:1.49945,FIBRONECTIN:1.46625,Slfn11:1.37614994336988,Hexokinase-II:-1.34064152610158,ERALPHA:1.2945,PDGFRB:1.27952502503128,HLA-DQA1:1.25431865952311,BETACATENIN:-1.2524,Connexin-43:1.18994976128013,RBM15:-1.0941,FAK:1.08979002571576,HSP70:1.060365,ATP5H:1.05916500340509,U-Histone-H2B:1.05446485923048,CD4:0.927548769266878,CYCLINB1:-0.916535,MLKL:0.911799880986635,ATP5A:0.898419383653626,ZAP-70:0.864882872810366,PAK1:-0.845020391974688,CYCLINE1:-0.75996,B7-H3:0.759769112425233,MSH6:-0.748125,b-Actin:0.741969761280129,PAR:0.730209576556437,MTCO1:-0.706801646154584,HER3:0.68818,BCL2:0.68796,NQO1:-0.674935150889469,CMYC:0.669065,AXL:0.668625,TFRC:-0.668172,Aurora-A:-0.63352997296726,PR:0.6135,S6:-0.610145,PHGDH:-0.609310588065978,Gli3:0.606898884587864,Porin:0.606790037845836,CASPASE7CLEAVEDD198:-0.588435,ATM:0.58826,CLAUDIN7:-0.58579,DM-K9-Histone-H3:0.580074996438956,LAD1:0.577005038339703,Stat3:0.574966867531585,STING:0.560115038027787,HMHA1:0.554359535660762,EEF2:-0.54095,SOD1:0.540848546678821,SLC1A5:-0.52027,HSP60:-0.517055188492699,ACSL1:0.500749987523351,ACC1:0.494485,RPA32:0.492425007702598,TRANSGLUTAMINASE:-0.49212,CD44:0.475704905671337,NF2:-0.47348,MMP14:0.462499973313834,LCK:0.462035,S100A4:0.455075027665237,CD45:0.448549861717145,WIPI2:0.444175038894221,RAB11:0.44345,4EBP1:-0.436175,p38-a:0.429858922225737,CMET:0.42199,Vinculin:0.413949615719244,PARG:-0.413280238719871,B7-H4:0.410424692320658,JNK2:0.40764,P27:0.40654,KU80:-0.405845,CYCLINE2:-0.402295,Gli1:-0.401060369100836,GCLM:0.400360029458755,Tau:0.398795009747382,BRD4:-0.39838,CDK1:-0.396765,MSH2:-0.395145,ZEB1:0.392738307681851,XBP1:0.389335,ASNS:-0.38238,WTAP:-0.376300674778663,HES1:-0.373050202745537,VEGFR2:0.370855,Rad23A:0.370484952250825,LC3A-B:0.367144764373298,RSK1:-0.367077815795902,ARAF:0.36419,PLC-gamma1:0.362809201370875
TCGA-AO-A124,PAR:2.9427,EPPK1:1.90875,U-Histone-H2B:-1.648605,Connexin-43:-1.6113,Aurora-B:1.589954,Glutamate-D1-2:-1.515791,ERALPHA:-1.5002,CAVEOLIN1:-1.23675,EMA:1.20644,PTEN:-1.2001,Cox2:1.18272,ASNS:1.11905,PDGFRB:-1.094265,PLC-gamma1:-1.07985,ATM:-1.0424,MSH6:1.01179,DNMT1:0.9507503,BETACATENIN:-0.9397,PKCALPHA:-0.89987,GCN5L2:0.889025,HLA-DQA1:-0.8744909,FOXO3A:0.87393,Akt2:-0.8716845,STING:0.8708555,HSP70:0.864015,ACETYLATUBULINLYS40:0.863465,Granzyme-B:-0.8623546,ETS1:-0.857655,Hexokinase-II:0.8567589,SMAC:-0.849735,GAPDH:-0.83513,PAI1:0.821055,PLK1:0.8185004,CKIT:0.808825,SOD2:0.8053552,53BP1:-0.79946,Mnk1:0.7792993,ACC1:0.772045,NF2:-0.76874,Coup-TFII:0.7489905,CDT1:0.735265,ACSL1:-0.7288496,ECADHERIN:-0.728215,Cyclophilin-F:0.7273302,MTCO1:0.7155088,TFRC:-0.71064,IL-6:0.7070951,MMP14:0.6969204,PAX6:0.6838504,BCL2:-0.677075,RAD50:-0.676495,DJ1:-0.657605,ANNEXIN1:-0.655215,GCLC:-0.6493146,AMPKALPHA:-0.64425,IGFBP2:0.64066,Rad23A:-0.6365946,PARP1:0.63618,GAB2:0.62942,CD44:0.6272553,PDCD4:0.61471,DRP1:0.6069389,P16INK4A:0.606195,FIBRONECTIN:0.602435,RAB25:0.596615,RICTOR:-0.58457,PERK:0.5844499,SIRP-alpha:0.5823348,YTHDF2:0.5809554,EEF2K:0.579885,AR:-0.568795,ERK2:-0.55906,MSH2:0.53773,CYCLINB1:0.5374,Lasu1:0.5347454,WTAP:0.5254098,Caspase-8-cleaved:0.5229154,MEK1:0.50521,Mcl-1:0.5007894,FASN:-0.498695,ADAR1:0.496145,BIM:0.48324,BRD4:0.481575,Aurora-A:0.4801105,Lyn:0.4796554,PAK1:0.47742,FOXM1:0.47728,PKA-a:-0.4758547,NQO1:-0.4730547,Creb:0.4726393,MSI2:-0.4703245,VAV1:-0.4615854,EIF4G:0.4598,Stat3:0.4590073,ZAP-70:-0.4580767,ATP5A:-0.4548502,CD49B:0.45165,Atg7:-0.4478495,CtIP:0.4409751,NOTCH1:0.438785
TCGA-A2-A0ER,COLLAGENVI:3.0721,GAPDH:-3.0536,HSP70:3.0016,MYH11:2.8888,Hexokinase-II:-2.27515654971191,EEF2:-1.9453,ACETYLATUBULINLYS40:-1.8322,RBM15:-1.8211,PARP1:-1.8007,TRAP1:-1.71665499200281,CYCLINB1:-1.6938,CKIT:1.6203,MTCO1:-1.56365666976491,CAVEOLIN1:1.5621,YTHDF3:-1.53590503608697,TFRC:-1.4188,ATRX:-1.41468763434756,HER3:1.3312,INPP4B:1.3194,MMP2:1.27684215063846,DUSP4:1.2563,FAK:1.25549500210543,YTHDF2:-1.18279001590773,MLKL:1.14651485737631,TRIM25:-1.09700070337098,CMYC:1.0825,NF2:-1.0772,CYCLINE1:-1.0762,DNMT1:-1.06933512889938,CHK2:-1.0643,XPA:1.05419001403623,GATA3:1.0533,GSK-3B:-1.02588586758686,SMAC:-1.0076,P70S6K1:-1.0025,SYK:-0.99298,MMP14:-0.984625050296491,FGF-basic:0.974060005267919,BRD4:-0.95935,SLC1A5:-0.95418,Stat3:-0.94153815607874,PLC-gamma1:-0.93967582223945,PAICS:-0.926404986665581,MSH6:-0.92086,PLK1:-0.920305056465501,GCN5L2:-0.90883,53BP1:-0.87757,Slfn11:0.874434919759551,ENY2:-0.87344,RSK1:-0.873022839406227,ERALPHA:0.86677,U-Histone-H2B:0.844119835620154,TUBERIN:-0.83323,RAB11:0.83259,ATP5H:0.82977997979476,KU80:-0.8232,P62LCKLIGAND:-0.8092,S6:-0.80297,WTAP:-0.789675698388988,MSH2:-0.76202,COG3:-0.75865,ASNS:-0.75821,GSK3ALPHABETA:-0.75771,BRAF:-0.75355,PERK:-0.752715602388133,EIF4G:-0.74542,BETACATENIN:-0.73459,ALKBH5:-0.713780206523191,DRP1:-0.713106564475931,PAR:-0.706975447053889,BAX:-0.70018,AR:0.6966,MERIT40:-0.685960625738522,ERK2:-0.68446,4EBP1:-0.67599,P16INK4A:-0.67556,MLH1:-0.670875133404834,SFRP1:0.670468978024045,ADAR1:-0.66684,DVL3:-0.66475,MTOR:-0.66252,Wee1:-0.660081196648953,EEF2K:-0.64844,KAP1:-0.646630500556175,Cox-IV:-0.645945649522128,BCL2:0.64515,PAXILLIN:-0.64464,Histone-H3:0.64094483311616,PARPCLEAVED:0.64058,VAV1:-0.634570883069322,ANNEXIN1:0.63344,NCADHERIN:0.62657,Atg5:-0.626425087657123,STATHMIN:0.62494,RICTOR:0.6152,Mnk1:-0.61474620313854,Mcl-1:-0.609776040041094,FIBRONECTIN:0.60886,JAK2:-0.60295,Cyclophilin-F:-0.600825281253113
TCGA-D8-A13Y,EMA:-3.887729,PAR:3.048031,CD171:3.014321,IGFBP2:2.9376,TFRC:-2.0438,ERALPHA:2.021,PLK1:1.973521,MYH11:1.9675,PAX6:1.962611,MSH6:1.953,BCL2:1.8204,MSH2:1.7285,PAK1:1.728491,CYCLINE2:1.6803,PAI1:1.6369,HLA-DQA1:-1.51103,Connexin-43:-1.485839,CLAUDIN7:1.484,PARP1:1.4733,RRM2:1.454304,cdc25C:1.446886,ANNEXIN1:-1.4311,PLC-gamma1:1.41599,MMP14:-1.384619,PMS2:1.322571,ATRX:1.299108,ZAP-70:-1.287006,HMHA1:-1.279789,IGFRb:1.275961,Enolase-2:1.256716,Aurora-A:1.249461,ATP5A:1.20969,ASNS:1.2081,GAB2:1.1472,ETS1:-1.1157,4EBP1:1.0741,Granzyme-B:1.073306,MSI2:1.037256,MLH1:1.012371,Glutamate-D1-2:-0.99901,DUSP4:0.983,DNA_POLG:0.974711,FIBRONECTIN:0.96911,FOXM1:0.96792,CASPASE7CLEAVEDD198:-0.96743,Atg5:-0.961939,LAD1:-0.9576139,CD4:-0.9511702,GAPDH:-0.92714,CYCLINB1:0.88024,ACETYLATUBULINLYS40:0.86468,P27:0.86371,IRS1:0.82145,Grp75:0.821306,P21:0.82027,SLC1A5:0.81179,EEF2K:0.79986,NQO1:0.7935659,IDO:-0.7844644,SOD2:-0.7632241,P16INK4A:0.75859,NF2:-0.75517,DNMT1:0.738071,ALKBH5:0.7320359,MLKL:-0.7313791,HER2:-0.7299,EEF2:-0.72914,SGK3:-0.7284939,TRAP1:0.7193511,PKA-a:0.712586,Mcl-1:-0.70818,AR:0.70614,BAP1C4:0.7054,PKCALPHA:-0.70199,CAVEOLIN1:-0.69686,PHGDH:0.6897905,ERK2:-0.68865,Cdc6:0.683941,XPA:0.6775361,TRANSGLUTAMINASE:-0.67555,YTHDF3:0.6669011,COLLAGENVI:0.65958,BIM:0.65546,Mitofusin-1:0.6540923,BRAF:0.63854,SDHA:0.6318411,HES1:0.6313009,GATA3:0.62287,TFAM:0.6223148,P70S6K1:0.61955,DDR1:0.6076553,Mitofusin-2:-0.605959,DRP1:0.6051095,Hexokinase-I:-0.5971891,WTAP:0.5919804,TRIP13:0.5811461,Atg7:0.5652911,Creb:-0.56412,CD44:-0.551554,EphA2:-0.5439689
TCGA-AO-A1KP,HSP70:3.0458,COLLAGENVI:2.4005,Hexokinase-II:-2.260291,CAVEOLIN1:2.2204,GAPDH:-2.0548,FIBRONECTIN:1.8187,CYCLINB1:-1.7764,XPA:1.754945,Gli1:-1.72935,GATA3:1.7231,RAB11:1.6708,ERALPHA:1.5548,MTCO1:-1.533631,TFRC:-1.5144,INPP4B:1.5105,RSK1:-1.427407,ECADHERIN:-1.4214,TRAP1:-1.40448,ACETYLATUBULINLYS40:-1.3971,MYH11:1.3704,PDGFRB:1.290485,S6:-1.2471,RBM15:-1.2463,ACC1:-1.2355,B7-H3:1.219829,FASN:-1.2062,ATRX:-1.194112,Tyro3:1.12905,PLC-gamma1:-1.12631,YTHDF2:-1.119385,DNMT1:-1.10488,FAK:1.09285,ATP5H:1.077435,YTHDF3:-1.06065,Wee1:-1.039736,SLC1A5:-1.0186,Cyclophilin-F:-0.9970299,TRIM25:-0.9921054,PAK1:-0.9775301,PAR:-0.9655901,MMP2:0.9644475,ASNS:-0.96354,GCN5L2:-0.96023,Histone-H3:0.9549402,CD134:0.9536489,ZEB1:0.9517986,Lasu1:-0.9290747,FGF-basic:0.9107953,ATM:-0.90572,U-Histone-H2B:0.8901152,SYK:-0.88771,DM-Histone-H3:0.882055,Creb:0.8817792,RIP:-0.8798547,GRB7:-0.8760904,Stat3:-0.8721428,BID:0.86431,CYCLINE1:-0.86078,MSH6:-0.86037,MLH1:-0.8391698,BAK:0.82496,COG3:-0.81535,Melanoma-gp100:0.8102803,DIRAS3:0.80852,SGK1:0.8021496,BCL2:0.79321,FTO:-0.7864996,MMP14:0.7848703,Caspase-8-cleaved:0.7689453,CKIT:0.75987,Connexin-43:-0.7561399,CDT1:0.7362649,CHK2:-0.71871,Atg4B:0.7186598,P21:0.71044,ETS1:0.70574,METTL3:-0.7003697,PHGDH:-0.6928903,53BP1:-0.68908,CHD1L:-0.6787515,CASPASE3:-0.67754,IL-6:0.657875,CD44:0.6489552,MEK1:0.6432,ANNEXIN1:0.64068,XPF:0.6391277,MTOR:-0.63621,PAX6:0.6332003,AMPKALPHA:-0.63203,ALKBH5:-0.6234649,KU80:-0.62058,ADAR1:-0.61941,BAP1C4:-0.6166,PAICS:-0.6094696,NQO1:-0.6037648,ENY2:-0.60361,BETACATENIN:-0.60265,BCL2A1:0.5992,Vinculin:0.5977099,MITF:0.596445
TCGA-A2-A0YT,FASN:3.021,EPPK1:2.9767,ERALPHA:2.7194,COLLAGENVI:2.6436,PAR:2.60989464250072,NQO1:2.50491991505482,EMA:2.40019466620635,GCLC:2.35570007569167,GATA3:2.3087,Cyclin-D3:1.81491497798391,MLKL:1.71270494693092,PDCD4:-1.6806,Gli1:-1.55629530315655,FIBRONECTIN:1.4794,ERCC5:-1.4624,FAK:1.43212509166005,WIPI1:1.36209507862888,DUSP4:-1.3427,ATP5A:1.28133444959791,MMP2:1.22676224019307,Histone-H3:1.18687492267077,Connexin-43:-1.15376517277558,RRM2:1.15218844263755,ACC1:1.1238,GAPDH:-1.1005,PAK1:-1.0748153260304,Grp75:1.05138003150354,IGFBP3:-1.04660522462299,UQCRC2:0.974095074677942,IGFRb:-0.956194897665486,MMP14:-0.946004960741878,ECADHERIN:0.93657,TRANSGLUTAMINASE:-0.93095,RAB25:0.92736,XPA:0.926440103590843,Slfn11:0.922725009314165,MTCO1:0.919773419789704,Glucocorticoid-Receptor:-0.909799907672799,XPF:0.905342474337893,1433ZETA:0.89157,D-a-Tubulin:0.877570088064347,PAI1:0.84184,TFRC:-0.83424,TRAP1:0.831275097551799,RAB11:0.81157,MCT4:0.803004965091377,CD171:0.801705070449745,SRC:0.8008,MEK1:0.78955,IGFBP2:0.76599,PREX1:0.76143,PAK4:0.756079988251156,MTSS1:-0.753040074825233,CD4:-0.743506164788835,Akt2:0.738120094822532,Wee1:-0.69595110709434,PDK1:0.68427,PARG:-0.677235172775584,DM-K9-Histone-H3:0.668880062383244,P38MAPK:0.66658,LC3A-B:0.655889830317585,DRP1:0.646183525078681,RIP:0.641890059922571,CD44:-0.640610028384376,ERK2:-0.63815,LAD1:-0.629819895716009,SIRP-alpha:-0.618030564776222,DDR1:0.61148932504807,STING:-0.604739896027926,BRAF:-0.60367,PAX8:-0.601501281455409,ATP5H:0.601180069349373,SLC1A5:0.5994,VAV1:-0.593380793514709,IDO:-0.592940394227404,PMS2:-0.591934902448201,CLAUDIN7:0.59028,BRD4:-0.58241,Stat3:-0.578958066524127,U-Histone-H2B:-0.578540074825233,Tyro3:0.553964558976508,JAK2:-0.55082,EEF2K:0.54956,Rad23A:0.548430018195113,MelanA:-0.543269922332861,CASPASE3:-0.54075,PDGFRB:-0.517279909024435,Porin:0.514625103790123,CYCLIND1:0.51436,DIRAS3:0.50929,PHGDH:-0.504805522121689,CD49B:0.49614,Erk5:-0.490644897110968,DNMT1:-0.488615039344765,P62LCKLIGAND:0.48509,PAX6:-0.484985001914819,EIF4E:0.48438,GAB2:-0.48329,SYK:-0.47492,PKCALPHA:-0.47007
TCGA-E2-A15J,FASN:3.6272,Connexin-43:3.607746,GATA3:3.3825,PAR:3.291346,EPPK1:3.1895,EMA:2.356756,INPP4B:2.277,GAPDH:-1.7153,AR:1.6497,RAB25:1.5627,PREX1:1.5589,MYH11:-1.5564,IRS2:1.470956,ERALPHA:1.4004,DUSP4:1.363,BCL2:1.3605,IR-b:1.325936,CMYC:1.2977,STAT5ALPHA:1.2417,HSP70:1.1853,TFRC:-1.1095,TRAP1:1.072566,ANNEXIN1:-1.047,MTCO1:1.028275,MLKL:-1.014184,P27:0.99228,ETS1:-0.98554,SGK3:0.9846812,CYCLINE1:-0.98083,CLAUDIN7:0.97431,HER2:0.92308,Gli3:0.8875851,IRS1:0.8228,BIM:0.81851,Puma:0.8181513,COLLAGENVI:0.81555,CASPASE7CLEAVEDD198:-0.81284,PARP1:0.791,NQO1:-0.7491389,LCK:-0.71039,IGFRb:0.7101063,Granzyme-B:0.7085412,RSK1:0.6900984,ECADHERIN:0.67124,B7-H3:-0.6283547,CAVEOLIN1:-0.62764,ACC1:0.61619,ASNS:-0.6048,PAX8:0.6006399,PKA-a:-0.5822289,Wee1:0.5805501,ARAF:0.57763,EEF2K:0.57312,ZAP-70:-0.5635309,PDCD4:0.56173,PKCALPHA:-0.54751,EGFR:-0.5422,Mcl-1:0.5417052,DDR1:0.5261905,CYCLINB1:-0.51686,PLC-gamma1:-0.5168146,ADAR1:0.51273,CYCLINE2:-0.50939,CD4:-0.509205,VEGFR2:0.50237,ATM:0.49613,B7-H4:0.4914709,BAK:-0.4913,BCL2A1:0.48934,CHD1L:-0.4863456,YTHDF2:0.4728512,IDO:-0.4614292,DJ1:0.45012,GATA6:0.43578,MIF:0.4337763,P16INK4A:-0.43234,PCNA:-0.43177,CD171:-0.4317438,Stat3:0.4291031,FGF-basic:-0.4182287,FTO:-0.4052537,Hexokinase-II:-0.3991253,KU80:0.39862,53BP1:0.39383,SRC:-0.39039,MTOR:0.38779,PR:0.37893,P62LCKLIGAND:0.37321,BAX:-0.36919,NCADHERIN:-0.36519,c-IAP2:0.3631611,HLA-DQA1:-0.3630551,HER3:0.36154,PAK1:0.3584458,SMAD3:-0.35834,JNK2:0.35688,RAPTOR:0.3566,Glutamate-D1-2:0.3528751,YTHDF3:0.3460562,CD26:0.34164
TCGA-A2-A0CZ,MYH11:3.2952,COLLAGENVI:2.9675,GAPDH:-2.5967,CKIT:2.4318,EMA:-2.37587541146079,CYCLINB1:-2.1331,HSP70:1.9214,Hexokinase-II:-1.77652653782443,PARP1:-1.6305,TFRC:-1.5295,SYK:-1.4549,XPA:1.4515300259237,YTHDF2:-1.42594000402025,EEF2:-1.3331,P62LCKLIGAND:-1.2323,YTHDF3:-1.2302250241995,FAK:1.17848501399291,RAB11:1.1502,CAVEOLIN1:1.1198,TRAP1:-1.10787498011534,MMP2:1.10678216252593,RBM15:-1.0861,GSK-3B:-1.07314585569939,BRAF:-1.0723,ENY2:-1.0648,SLC1A5:-1.0448,HLA-DQA1:-1.03921635219974,P16INK4A:-1.0184,MTCO1:-0.997016657877435,TRIM25:-0.992680691483508,CMYC:0.98902,MMP14:-0.980495038409017,TRANSGLUTAMINASE:-0.9682,ERALPHA:0.94246,S6:-0.9379,WTAP:-0.924375686501514,RIP:-0.922870017744568,DNMT1:-0.918045117011904,Atg5:-0.909295075769649,PLK1:-0.900625044578027,Stat3:-0.887318144191266,SFRP1:0.882468989911519,Cyclophilin-F:-0.865925269365638,FGF-basic:0.863910017155393,ATRX:-0.861837622460085,VAV1:-0.842300871181847,MLKL:0.825014869263783,GCLC:0.823869998024531,JAK2:-0.81421,HER3:0.81321,PAK1:-0.81091540369754,MR1:0.79459983738768,DRP1:-0.787396552588457,GSK3ALPHABETA:-0.77269,PAICS:-0.770704974778107,CYCLINE1:-0.76229,AR:0.7505,Slfn11:0.747034931647026,EIF4G:-0.74162,GATA3:0.73539,P27:0.73297,CDT1:0.713969568827845,CD4:-0.705066242455974,CHK2:-0.69343,BID:0.66577,HMHA1:-0.66511547606209,NCADHERIN:0.6613,NF2:-0.66122,Cox-IV:-0.660275637634653,ASNS:-0.64543,MERIT40:-0.640790613851048,MSH6:-0.6391,Grp75:-0.635990046163601,Granzyme-B:-0.633930077667139,STATHMIN:0.6325,TSC1:-0.63101,ERK2:-0.62489,ATP5H:0.618799991682234,Mcl-1:-0.61854602815362,RICTOR:0.5997,Mnk1:-0.593646191251066,CMET:0.58916,CD134:0.583623577792436,Mitofusin-1:-0.577943769920212,DDB-1:-0.576275051024295,IRS1:0.56929,SMAC:-0.56763,Glutamate-D1-2:-0.566446114519715,IL-6:0.560049694322119,Creb:0.559243898026242,1433ZETA:-0.55631,BAX:-0.55578,CYCLIND1:0.55416,MCT4:-0.548865112575762,MRE11:0.54545,ADAR1:-0.54375,ALKBH5:-0.537420194635717,BRD4:-0.53603,IRF-3:-0.529639730247739,ATP5A:0.527124371930774
TCGA-D8-A1XW,EPPK1:2.2677,PHGDH:2.133052,CLAUDIN7:1.8615,SIRP-alpha:1.855897,MTCO1:1.851481,HMHA1:1.711322,CKIT:1.5444,GAPDH:-1.5061,GAB2:1.4747,FASN:-1.4673,LAD1:1.447368,IRS2:1.393772,IGFBP2:-1.3312,BETACATENIN:1.2912,RSK1:1.263315,MYH11:1.2299,TFRC:-1.1668,ERALPHA:-1.1446,ECADHERIN:1.1441,RAB25:1.1219,VAV1:1.107937,CYCLINE1:-1.0832,CYCLINB1:-1.0747,AXL:0.97199,Connexin-43:-0.9689976,P90RSK:0.9581,EVI1:0.914447,STAT5ALPHA:0.90368,CAVEOLIN1:-0.88196,AR:-0.87735,HES1:-0.8697276,Histone-H3:-0.8681476,HER3:0.85582,Lyn:0.8479176,PAK1:0.8240022,CD4:0.8111414,53BP1:-0.80031,Cox-IV:0.785932,VEGFR2:0.77787,CASPASE7CLEAVEDD198:-0.77021,ATM:0.7693,STING:0.7628376,EMA:-0.7615778,MYOSINIIA:0.74875,FTO:-0.7374274,Glutaminase:0.7343426,AceCS1:0.7249521,RAD50:-0.72246,PREX1:0.7074,Cyclin-D3:0.7034625,RAD51:-0.70224,DVL3:0.69987,EEF2K:0.68962,Mitofusin-1:0.6815938,PCNA:-0.66931,XPA:-0.6462224,S100A4:0.6445376,U-Histone-H2B:-0.6427925,Hexokinase-II:-0.6362989,WTAP:-0.6361881,MSI2:-0.6184024,CYCLINE2:-0.60744,PAR:-0.6012878,SLC1A5:0.59859,KAP1:-0.5896929,P21:-0.58296,INPP4B:-0.57572,HER2:0.5708,PAX8:0.5564262,PAI1:-0.55368,MMP14:0.5471126,RICTOR:0.53838,ENY2:-0.52964,HLA-DQA1:-0.5240487,PDCD4:0.52159,IGFRb:-0.5103274,LC3A-B:0.5091774,BCL2:0.50279,Mitofusin-2:0.4918525,YTHDF3:-0.4794474,DDR1:0.4775069,Mnk1:0.4740814,PDHA1:0.473507,JAB1:0.47246,PKA-a:0.4680275,IRS1:0.46726,DIRAS3:0.46466,B7-H4:0.4595673,MLH1:-0.4556775,SMAD3:-0.45347,MSH6:-0.45042,PHLPP:0.4503526,TUBERIN:0.44366,SFRP1:0.4420166,METTL3:-0.4406874,Coup-TFII:-0.4376574,Granzyme-B:-0.4351725,PLC-gamma1:0.4258918,Creb:-0.4256285,Vinculin:-0.4251578
