patient_id,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29,expression_30,expression_31,expression_32,expression_33,expression_34,expression_35,expression_36,expression_37,expression_38,expression_39,expression_40,expression_41,expression_42,expression_43,expression_44,expression_45,expression_46,expression_47,expression_48,expression_49,expression_50,expression_51,expression_52,expression_53,expression_54,expression_55,expression_56,expression_57,expression_58,expression_59,expression_60,expression_61,expression_62,expression_63,expression_64,expression_65,expression_66,expression_67,expression_68,expression_69,expression_70,expression_71,expression_72,expression_73,expression_74,expression_75,expression_76,expression_77,expression_78,expression_79,expression_80,expression_81,expression_82,expression_83,expression_84,expression_85,expression_86,expression_87,expression_88,expression_89,expression_90,expression_91,expression_92,expression_93,expression_94,expression_95,expression_96,expression_97,expression_98,expression_99,expression_100
TCGA-AA-3521,EEF2:2.9108,MYH11:2.808,EPPK1:2.4029,PAR:-2.37053096752586,ERALPHA:-2.2901,CLAUDIN7:2.2647,Hexokinase-II:2.16540345355877,Oct-4:2.12250362829384,CD171:1.96544323151716,TIGAR:1.7584,LAD1:1.49116694161211,HER2:1.4683,BETACATENIN:1.3563,ETS1:1.3286,TFRC:1.2472,NQO1:1.2073368328368,YB1:1.1552,CASPASE7CLEAVEDD198:1.1446,U-Histone-H2B:-1.14305886888684,AceCS1:1.08976189315368,AR:-1.0591,SLC1A5:1.0553,CD86:1.03594461444526,GAPDH:1.0011,RICTOR:0.98943,CD49B:0.98255,XPA:-0.976817017399779,ZAP-70:-0.971310663737748,CAVEOLIN1:0.96568,HMHA1:-0.964748095341949,VASP:0.956397763963421,SNAIL:0.94735,ATM:-0.94078,Glucocorticoid-Receptor:-0.922767366660779,Cox2:0.918604336737334,CYCLINE1:-0.90351,BCL2:-0.87503,ACSL1:-0.859050233039154,MCT4:0.851464957378422,SYK:0.84302,PLK1:0.841977445065,EEF2K:-0.80894,HSP60:0.804469891633058,IRS2:0.80087330899114,Rheb:-0.798621482553522,BCLXL:0.79437,IR-b:0.788688942412651,FIBRONECTIN:-0.77824,ECADHERIN:0.76351,MSH2:-0.76321,FAK:-0.744596840253964,D-a-Tubulin:0.732347768654901,GATA6:0.71329,Aurora-A:0.709817822008918,CMET:0.70777,CD38:0.707173401821706,BAK:-0.68928,UGT1A:0.684087349788036,Tau:-0.679522986910244,PAX8:-0.677412921480766,FTO:-0.670919180151235,1433ZETA:0.66978,CASPASE8:0.66192,VEGFR2:0.65426,b-Actin:-0.653054343012251,HSP27:0.650484821623995,Mitofusin-1:0.643820340042122,TRAP1:0.64078441267609,Lyn:0.637969787345982,RPA32:-0.623496088727295,Creb:-0.621633628889562,P16INK4A:-0.62009,TSC1:0.6198,PAK1:0.619575404947556,EphA2:0.61480492791759,MLKL:0.610717632360315,SHP2:-0.609347544968049,GCLC:-0.594966460786743,ANNEXIN1:-0.5836,ACETYLATUBULINLYS40:0.58285,SRC:0.58249,FASN:-0.58118,WTAP:0.576562171068862,BRAF:-0.57406,HSP70:-0.57055,DRP1:0.560058591440663,PMS2:-0.548320503379767,Connexin-43:-0.54804954973375,PAXILLIN:-0.53526,MEK1:0.53241,CD29:0.528917066082994,MSI2:0.524161893034923,Gli3:-0.523360566589651,PDGFRB:-0.519485877793543,PKCALPHA:0.51882,RBM15:0.51762,DM-K9-Histone-H3:-0.514817701793864,CMYC:0.49985,Enolase-2:-0.497451519392299,S100A4:-0.495520356544118
TCGA-AF-6136,MYH11:6.0913,CLAUDIN7:3.5884,Oct-4:2.361591,ATP5A:2.22228,ERALPHA:-2.1603,BETACATENIN:2.1474,EPPK1:2.1285,Hexokinase-II:2.013793,NQO1:2.012692,Cox-IV:1.945,Rad23A:1.93314,AceCS1:1.689526,ECADHERIN:1.5923,DUSP6:1.473319,U-Histone-H2B:-1.455285,MMP14:-1.410478,IRS2:1.397713,UGT1A:1.355714,LAD1:1.332491,D-a-Tubulin:1.319329,MLKL:1.291279,RAB25:1.2862,PAK4:1.222701,VASP:1.217279,CD171:1.205142,TIGAR:1.1937,ANNEXIN1:-1.1669,Lyn:1.121215,TFRC:1.0905,RSK1:1.088287,Connexin-43:-1.076305,PAK1:1.073012,FASN:-1.0681,SYK:1.0623,XPA:-1.03502,EMA:1.01486,TRIP13:-0.9905049,GCLC:0.9886499,AR:-0.98835,Atg5:0.9798258,RICTOR:0.97777,GATA6:0.97003,IR-b:0.9678543,CDT1:-0.9482235,TRAP1:0.9456183,FIBRONECTIN:-0.93327,CAVEOLIN1:0.92187,CtIP:-0.9154668,CMYC:0.91151,PAI1:-0.90034,AMPKALPHA:0.88955,MTCO1:0.8883347,SLC1A5:0.88273,Glutaminase:0.8801443,PLK1:0.8789195,ZEB1:-0.8750639,CYCLINE1:-0.87195,HSP70:-0.85954,PLC-gamma1:0.8593148,FN14:0.8560296,EVI1:0.8418995,RRM2:0.8122181,Cox2:0.811703,DNA_POLG:0.8065774,P90RSK:0.79339,MCT4:0.7892251,RIP:0.7725686,WTAP:0.7645933,B7-H3:-0.7526506,Creb:-0.7510807,Enolase-1:-0.743905,EEF2:0.73404,RBM15:0.72871,PKCALPHA:0.72667,Enolase-2:-0.7255218,S100A4:-0.7036944,PDGFRB:-0.689208,COG3:0.66969,ASNS:0.66458,MIF:-0.6551534,UQCRC2:0.6522759,HSP60:0.6519242,BCLXL:0.64687,SDHA:0.6398474,DM-Histone-H3:-0.6045883,ERRalpha:0.60213,PDHA1:0.6015016,DIRAS3:0.59907,HER3:0.59619,JNK2:0.59421,PAXILLIN:-0.59357,Erk5:-0.5855409,Glucocorticoid-Receptor:-0.5851517,CASPASE7CLEAVEDD198:0.58492,PKA-a:-0.5822101,SHP2:-0.5803065,RB:0.57543,CKIT:0.57376,Stat3:-0.5695906,PAR:-0.5692699
TCGA-F4-6856,MYH11:2.8203,Oct-4:2.282257,CD171:2.120776,EMA:2.005896,ERALPHA:-1.8632,CLAUDIN7:1.8249,EPPK1:1.7997,RICTOR:1.5569,CASPASE7CLEAVEDD198:1.4798,IDO:1.435171,PLC-gamma1:-1.364257,CD4:1.36389,Connexin-43:-1.230909,Vinculin:1.026499,BETACATENIN:1.0241,AceCS1:0.962513,ATRX:-0.9601238,Lasu1:-0.9478505,U-Histone-H2B:-0.9389871,CKIT:0.91261,EEF2K:-0.90671,TIGAR:0.89666,Rad23A:0.8814005,PMS2:-0.8809133,MLKL:0.8632367,Rheb:-0.8371878,LAD1:0.8000817,UGT1A:0.7771934,LCK:0.76601,CD45:0.7658808,VASP:0.7511169,PAR:-0.7313011,CAVEOLIN1:0.72267,DM-K9-Histone-H3:-0.7184772,53BP1:-0.70694,MEK1:0.69393,GCLC:-0.6900294,GAPDH:-0.68652,IGFBP2:0.67603,CD86:0.6660519,D-a-Tubulin:0.6619338,COLLAGENVI:0.66021,IGFRb:-0.6561638,Lyn:0.6534003,ATP5A:0.6271541,PAK4:0.6064911,ACSL1:-0.6036065,RRM2:0.575243,Atg5:0.5723786,SYK:0.57197,XBP1:0.57132,MCT4:0.5680419,PKCALPHA:0.56319,RBM15:-0.5536,PHGDH:-0.550554,Hexokinase-I:-0.5496447,MMP14:-0.5442328,GRB7:-0.526144,BECLIN:0.52558,VEGFR2:0.51335,SHP2:-0.5033085,AR:-0.50145,Wee1:-0.500897,Cox-IV:0.5007894,HSP70:0.49777,MRAP:0.4969548,RAD50:-0.48542,Gli1:0.4618177,PAXILLIN:-0.45731,FN14:0.4542469,P16INK4A:-0.45419,MelanA:-0.439323,MSH6:-0.43216,TRANSGLUTAMINASE:-0.4265,DNA_POLG:-0.4217782,PDCD4:0.41963,FTO:-0.4181548,MTCO1:-0.4159792,KU80:-0.4152,IL-6:0.4070183,PAI1:0.40087,CD44:0.3992912,DDR1:-0.3978299,Creb:-0.3963072,IGFBP3:0.3935644,TRIP13:-0.3917064,SCD1:-0.38153,ANNEXIN1:-0.38106,Cox2:0.3760745,YTHDF2:0.374188,UQCRC2:-0.3732134,METTL3:-0.3728781,EEF2:0.37247,Caspase-8-cleaved:-0.3718569,Puma:-0.3711001,MYOSINIIA:-0.36497,XPA:-0.3634618,Enolase-2:-0.361461,MTOR:-0.35876,MIF:-0.3585231
TCGA-AA-3672,EEF2:2.479,IDO:2.26856214937502,ERALPHA:-2.2344,EPPK1:2.164,CASPASE7CLEAVEDD198:2.1551,Cyclin-D3:1.92015167341573,MYH11:1.9073,TFRC:1.8765,PLC-gamma1:-1.85175613778916,BETACATENIN:1.7558,CLAUDIN7:1.7412,PAR:-1.66498589697403,ETS1:1.657,CD86:1.57518348936284,Connexin-43:-1.52750262184801,GAPDH:1.5141,Lyn:1.50851229694248,Granzyme-B:1.49821366532037,EEF2K:-1.4747,CD4:1.43081058731641,GCLC:-1.41321330876488,CD171:1.31430996164958,ATM:-1.2982,TIGAR:1.281,MCT4:1.26278965685686,IR-b:1.20030264628493,PMS2:-1.18096496466239,SLC1A5:1.103,Glucocorticoid-Receptor:-1.0987503832854,XPA:-1.089372592415,PAXILLIN:-1.0874,HER2:1.0808,CD44:1.05436499190861,FASN:-1.0476,ATRX:-1.04223479411563,EIF4G:-1.0341,EphA2:1.00853965902203,Hexokinase-II:1.00838378564851,Enolase-1:0.992486282441543,AR:-0.98127,CD49B:0.97174,MLH1:-0.955662972073439,CAVEOLIN1:0.94484,DUSP6:0.931561366409742,STING:-0.931090656434699,LCK:0.9137,Cyclophilin-F:0.896500994845556,BRAF:-0.88432,PLK1:0.85059793494432,HSP60:0.819644329785479,IGFRb:-0.816332368751164,HMHA1:-0.815434903827612,MEK1:0.78497,PAX8:-0.784599775461599,TRAP1:0.769947558968956,DRP1:0.768987023946764,PCNA:0.75895,BAX:-0.73993,SOD2:0.738491679141225,COLLAGENVI:0.72771,ERCC5:-0.72677,DNA-Ligase-IV:-0.713463105542224,DVL3:-0.71121,Tau:-0.709932577334476,SIRP-alpha:-0.69977693071656,RAD50:-0.68612,ECADHERIN:0.68029,CD38:0.673164381950677,RAD51:0.6661,ZAP-70:-0.643896784673978,VASP:0.642657056433249,b-Actin:-0.636462493296867,PAICS:0.633463732787508,53BP1:-0.6304,MMP14:-0.6263075056946,Mcl-1:0.623654802322217,Gli3:-0.612593301786003,Glutamate-D1-2:-0.611623506654211,Lasu1:-0.610852579527325,RRM2:0.602632342229483,LAD1:0.602252716713356,MSH2:-0.60063,DNMT1:0.587587512514697,SRC:-0.57266,CHK1:0.57038,Cox-IV:0.567825709532161,YTHDF3:-0.562162672098628,YB1:0.55659,CYCLINB1:0.55471,SYK:0.5547,Cox2:0.543597252484655,GCN5L2:0.5398,ATP5H:-0.53467740365849,FAK:-0.534645392563249,Hexokinase-I:-0.533546695511305,WIPI1:-0.532680225328925,S6:-0.52709,DUSP4:0.52362,IRF-3:0.519009101818416,Creb:-0.516834977706646
TCGA-BM-6198,MYH11:5.1706,IL-6:3.076333,Connexin-43:-2.884721,PLC-gamma1:-2.879437,SIRP-alpha:-2.754951,VAV1:-2.505995,CASPASE7CLEAVEDD198:2.3342,NQO1:2.250502,CDT1:2.245767,PAR:-2.202905,ATRX:-2.143042,STING:-2.090794,VASP:2.043879,EEF2:2.0383,IDO:2.016774,CLAUDIN7:2.0047,ERALPHA:-1.9851,STAT5ALPHA:-1.936,53BP1:-1.917,XPA:-1.8999,CtIP:1.855033,PAK4:1.804822,YTHDF3:-1.773301,ACETYLATUBULINLYS40:-1.7398,EMA:1.727126,ECADHERIN:-1.7235,EPPK1:1.7211,Glucocorticoid-Receptor:-1.697211,AKT:-1.6859,PAXILLIN:-1.6749,Lasu1:-1.671383,RAB25:1.6701,EIF4G:-1.6653,CD4:1.659121,EEF2K:-1.6561,BRAF:-1.6538,SGK3:1.565698,HMHA1:-1.551719,RIP:-1.549051,TIGAR:1.5372,Wee1:-1.53337,Mitofusin-2:-1.488678,SOD2:1.461225,CD86:1.453859,METTL3:-1.438975,ATM:-1.4343,MLKL:1.430111,KU80:-1.4103,DM-Histone-H3:1.405775,HSP60:1.37681,Rad23A:1.375345,CD44:1.367581,LAD1:1.348628,GAPDH:1.3483,Lyn:1.347568,Calnexin:-1.330641,AXL:-1.2994,MMP14:-1.291739,BETACATENIN:-1.2876,IGFRb:-1.27623,MCT4:1.266628,MITF:1.264423,1433ZETA:1.2634,U-Histone-H2B:-1.248576,Histone-H3:1.230668,ZAP-70:-1.225242,BAP1C4:-1.221,Cox-IV:1.192522,PMS2:-1.149722,Cox2:1.143426,Stat3:-1.106209,PAI1:1.0927,Erk5:-1.078475,ETS1:1.0752,GAB2:-1.071,KAP1:-1.053199,MSI2:-1.037103,PAX8:-1.025431,CHK1:1.0238,AceCS1:1.007584,CD49B:0.98273,PAX6:0.9672894,CD38:0.9645656,FAK:-0.9609016,TFAM:0.954554,Granzyme-B:0.9240878,Mnk1:-0.920612,GCLC:-0.918549,PLK1:0.9150959,Cdc42:0.9134412,PKCALPHA:-0.90516,Tau:0.9031847,FTO:-0.902932,AR:-0.90097,MLH1:-0.9003849,PAICS:0.890557,P70S6K1:-0.88864,Atg5:0.8886217,PAK1:-0.8834569,RRM2:0.8754091
TCGA-DM-A1D4,MYH11:2.6883,MTCO1:-2.501047,CASPASE7CLEAVEDD198:2.4439,CD4:2.2395,Connexin-43:-2.157992,PAR:-2.102528,ERALPHA:-2.0747,ASNS:1.8515,U-Histone-H2B:-1.725332,VASP:1.72311,IDO:1.696641,CLAUDIN7:1.6626,EPPK1:1.6584,PLC-gamma1:-1.591949,Rad23A:1.568946,LAD1:1.548096,Glucocorticoid-Receptor:-1.547557,PAXILLIN:-1.4412,MMP14:-1.335944,CD86:1.327598,Cyclophilin-F:1.288945,Mitofusin-1:1.275735,XPA:-1.257446,D-a-Tubulin:1.196799,Atg5:1.193518,Oct-4:1.190046,HMHA1:-1.131191,RAB25:1.0948,TFAM:1.067659,IGFRb:-1.062696,GCLC:-1.055946,DNA-Ligase-IV:-1.007759,ACSL1:-1.007177,FN14:0.985259,SIRP-alpha:-0.984348,NQO1:-0.9807027,Cox-IV:0.9614789,ECADHERIN:0.93033,CYCLINB1:0.92776,SGK3:-0.9128875,Mitofusin-2:-0.908435,TFRC:0.90387,TSC1:0.89495,STING:-0.894321,ATRX:-0.8558602,BETACATENIN:0.84923,SLC1A5:0.8441,CD49B:0.83608,PMS2:-0.8294916,CHK2:0.8264,MCT4:0.8234734,BRAF:-0.81569,Cox2:0.8124191,Enolase-2:-0.7989044,RICTOR:0.7926,RIP:-0.7910787,b-Actin:-0.7890545,PLK1:0.7879953,Hexokinase-II:0.7874805,CD44:0.7792474,EVI1:0.7786163,CD38:0.7766731,EEF2K:-0.77534,SOD2:0.7710542,PKA-a:-0.7600056,ZAP-70:-0.7579245,SYK:0.75052,PKCALPHA:0.74889,AR:-0.73775,GSK-3B:-0.7192956,MEK1:-0.69579,UGT1A:0.6943585,CKIT:0.69169,HSP70:-0.68515,ALKBH5:-0.6805519,Lyn:0.6766367,METTL3:-0.6739138,P62LCKLIGAND:0.67211,UBAC1:0.6693818,Tau:-0.6674632,BCL2:-0.66675,MTSS1:0.6544171,Stat3:-0.6536828,DRP1:0.6532471,FTO:-0.6321655,53BP1:-0.63142,PAX8:-0.6168889,INPP4B:0.60995,Lasu1:-0.5988036,P53:0.59825,TRAP1:0.591359,DVL3:-0.57364,CtIP:-0.5625986,PTPN12:-0.5487005,Hexokinase-I:-0.5461891,YB1:-0.54576,EMA:0.5389387,IRS2:-0.5386394,Cyclin-D3:0.5323079,DM-K9-Histone-H3:-0.5270976
TCGA-AG-4008,MYH11:3.6601,CD171:3.117457,U-Histone-H2B:-2.210903,ERALPHA:-2.1946,BETACATENIN:2.1348,EEF2:1.9689,CLAUDIN7:1.8008,Oct-4:1.653572,Histone-H3:-1.620245,CAVEOLIN1:1.4336,IDO:1.332434,PLC-gamma1:-1.302426,EPPK1:1.249,PLK1:1.245131,YB1:1.2279,CD86:1.165296,BCLXL:1.1554,ETS1:1.0989,AR:-1.0808,VASP:1.080298,PAR:-1.073296,HSP60:1.072169,Hexokinase-II:1.045568,Vinculin:1.032163,EEF2K:-1.0309,SYK:1.0308,MCT4:1.024476,PKCALPHA:0.99637,SLC1A5:0.98715,HER2:0.98628,TIGAR:0.98042,ECADHERIN:0.97653,AceCS1:0.9576701,RICTOR:0.9423,MYOSINIIA:-0.94027,TRAP1:0.9164975,ZAP-70:-0.8859719,Cyclophilin-F:0.8655361,LAD1:0.8359904,GCLC:-0.8348188,FASN:-0.83376,CASPASE7CLEAVEDD198:0.82666,INPP4B:0.80082,CD49B:0.76855,D-a-Tubulin:0.7646948,PAK4:0.7421916,YTHDF3:0.7241927,PAX8:-0.7136169,b-Actin:-0.7020671,PTEN:0.69992,AMPKALPHA:0.68566,BAK:-0.68524,TFAM:0.6835572,FGF-basic:0.6718585,Creb:-0.6688834,PAXILLIN:-0.66643,Cox2:0.6655557,S100A4:0.6629309,XPA:-0.6482973,1433ZETA:0.64526,RAD50:0.64518,Stat3:-0.6323185,Lyn:0.6299281,CD4:0.622765,VEGFR2:0.62013,SOD2:0.617221,Aurora-A:0.6158801,SIRP-alpha:0.6137642,TAZ:0.61239,MEK1:0.60702,DUSP4:-0.60011,PAK1:0.5957146,MTCO1:0.5954628,IR-b:0.5894663,HMHA1:-0.5882501,Wee1:-0.5872872,DRP1:0.579726,SGK3:-0.5767983,CMYC:0.57501,BRAF:-0.56804,CD29:0.5550028,PDCD4:0.55205,XBP1:0.54478,BCL2:-0.54383,IRF-3:0.5412371,Glutaminase:0.538831,P90RSK:0.53819,DM-K9-Histone-H3:-0.5381462,S6:-0.5292,Cox-IV:0.5284919,CtIP:-0.5262709,DM-Histone-H3:-0.5243616,WTAP:0.5124874,UGT1A:0.5076354,LCK:0.50118,EphA2:0.4990394,ACSL1:-0.4921973,Tau:-0.4916772,MMP2:-0.4867224,PARPCLEAVED:-0.48535
TCGA-DM-A0X9,EPPK1:3.2858,CLAUDIN7:2.745,ERALPHA:-2.2508,Connexin-43:-2.220883,VASP:2.018695,LAD1:1.97736,CASPASE7CLEAVEDD198:1.9416,MYH11:1.7424,EMA:-1.740281,IDO:1.647279,BETACATENIN:1.6154,MTCO1:-1.577785,U-Histone-H2B:-1.481644,CD4:1.474951,WTAP:1.427665,Glucocorticoid-Receptor:-1.422805,SLC1A5:1.3939,EVI1:1.34955,GATA6:1.3493,TFRC:1.319,Lyn:1.253031,DNA-Ligase-IV:-1.233621,PLC-gamma1:-1.211714,Cyclophilin-F:1.162768,SYK:1.1508,IRF-3:1.117992,CYCLINB1:1.1075,PLK1:1.095897,ECADHERIN:1.0697,CD86:1.042191,TRAP1:1.030921,Rad23A:1.026885,GCLC:-1.000341,Aurora-A:0.9877694,TIGAR:0.98465,HSP60:0.9657142,RAB25:0.93663,Enolase-2:-0.9212769,CASPASE3:0.9044,Stat3:-0.8813564,Cox-IV:0.874125,TFAM:0.8678165,MMP14:-0.8662773,DRP1:0.8616958,PAX8:-0.8575855,IRS2:-0.8549514,Hexokinase-I:-0.850974,ZAP-70:-0.8321348,STAT5ALPHA:0.82375,SGK3:-0.8198985,XPA:-0.8044256,UGT1A:0.8037216,AR:-0.80109,KAP1:0.7841036,ANNEXIN1:-0.77892,BCL2:-0.77567,PKA-a:-0.7585469,b-Actin:-0.7515458,PMS2:-0.7498491,4EBP1:0.73142,HMHA1:-0.7203673,GCN5L2:0.70539,ASNS:0.69056,PAK1:0.6902006,CAVEOLIN1:0.68429,P62LCKLIGAND:0.68354,Puma:0.6785143,PAR:-0.6711721,Tau:-0.6595262,STING:-0.6415496,ACC1:0.63974,METTL3:-0.6394191,ACSL1:-0.6358202,FOXM1:0.62592,RRM2:0.6254684,P90RSK:0.61998,PTEN:0.61996,Atg7:-0.6173019,CD49B:0.60742,NQO1:-0.6070853,CHK2:0.60517,IGFBP2:0.59092,ARAF:0.58468,ATP5H:-0.5838319,MSH6:0.58362,EEF2:0.57768,D-a-Tubulin:0.5704736,BAK:-0.56848,INPP4B:0.56272,AMPKALPHA:0.55093,FTO:-0.5501381,PEA15:-0.53147,FASN:0.52973,SRC:0.52504,GSK-3B:-0.5244834,EIF4G:0.52134,Cox2:0.5211864,BAX:0.51336,HES1:0.5028444,PAI1:-0.49851
TCGA-AA-3489,ETS1:3.0604,MYH11:2.9079,EPPK1:2.6385,CAVEOLIN1:2.4163,RICTOR:2.395,TFRC:2.3158,ERALPHA:-2.302,TIGAR:2.259,COLLAGENVI:2.0788,BETACATENIN:2.0591,YB1:1.9547,PAR:-1.92597578536706,CLAUDIN7:1.9076,EEF2:1.7297,CD171:1.65597377996192,EEF2K:-1.5381,HER2:1.467,VEGFR2:1.462,SIRP-alpha:-1.45383046301211,MTCO1:1.43877020083799,FASN:-1.4239,PARPCLEAVED:-1.3795,Rheb:-1.32842888498701,HSP60:1.32808052899721,DUSP4:-1.2844,Vinculin:1.2270182423527,1433ZETA:1.2057,GAPDH:1.1444,GCLC:-1.11241507953592,XPA:-1.07182935256434,SYK:1.0664,FTO:-1.02028869845251,PAK4:1.01224011716201,STING:-1.00627136170805,P53:-1.0025,AR:-0.99234,CD4:0.977137473891394,PLC-gamma1:-0.972291930242099,CD86:0.954552245534642,Cox-IV:0.95211412305019,ERK2:0.94397,Connexin-43:-0.943053410711639,BRAF:-0.89461,LAD1:0.888942652888744,SLC1A5:0.86955,MCT4:0.812509408573367,VASP:0.809391931395178,SMAC:0.80891,MMP14:-0.806680651755852,U-Histone-H2B:-0.800746533059984,HMHA1:-0.798878078289683,CKIT:0.79878,Glucocorticoid-Receptor:-0.797775099360483,TFAM:0.795413037498336,ATRX:-0.795010848259116,ADAR1:-0.79477,EMA:-0.791976942814814,S6:-0.78339,Hexokinase-II:0.766123851480534,AMPKALPHA:0.75117,Wee1:-0.750659846396763,PTEN:0.7183,MSH2:-0.71711,MEK1:0.71614,CD49B:0.69446,IDO:0.687825406219043,53BP1:-0.68769,PKCALPHA:0.67948,ALKBH5:-0.675887127024312,CYCLINE1:-0.67264,LCK:0.67087,ZAP-70:-0.66263249581901,Lyn:0.647437210755237,SOD2:0.627458227313506,ACVRL1:0.62641,FIBRONECTIN:0.6235,BCLXL:0.62338,ACETYLATUBULINLYS40:0.61541,TRANSGLUTAMINASE:0.60362,Histone-H3:0.602238069472509,Glutaminase:0.595813585190299,Lasu1:-0.586181154167653,SHP2:-0.581260800377662,PMS2:-0.579329693129002,CYCLINB1:-0.57845,Stat3:-0.57284353223494,METTL3:-0.564022539148087,CYCLINE2:-0.55439,JNK2:0.55311,FGF-basic:0.550214921511432,TRAP1:0.545616193129907,GATA6:0.54242,IGFRb:-0.542235195415044,CD45:0.535472111102453,VAV1:-0.534385636413534,Aurora-B:-0.530262523419115,AceCS1:0.523451101866919,BAP1C4:-0.50958,RAB11:0.48111,ASNS:0.46916
TCGA-AG-3893,CD171:4.565042,CLAUDIN7:3.5097,MYH11:3.3116,Stat3:-3.232854,ATM:-3.041,CD44:2.928789,PLC-gamma1:-2.851875,PDCD4:2.7962,SIRP-alpha:2.674148,ECADHERIN:2.5889,FASN:-2.5277,TIGAR:2.3601,VAV1:-2.34996,ACC1:-2.3072,ERALPHA:-2.2005,DNMT1:-2.150582,GSK-3B:-2.069299,Vinculin:2.001965,ACSL1:-1.981815,Glutamate-D1-2:-1.96122,FN14:1.948918,DNA_POLG:-1.854695,GAPDH:-1.8426,MTOR:-1.8152,Hexokinase-I:-1.805815,ETS1:1.8025,WTAP:1.726403,PMS2:-1.710057,BCLXL:1.6917,PAICS:-1.682531,Atg7:-1.670413,FIBRONECTIN:1.639,SYK:-1.6302,CD86:1.597686,TFAM:1.568447,MTCO1:-1.566244,CtIP:-1.56021,EphA2:-1.554578,TRIP13:-1.529351,COLLAGENVI:1.5196,STAT5ALPHA:-1.4952,Hexokinase-II:-1.494241,CAVEOLIN1:1.4881,DNA-Ligase-IV:-1.476809,DRP1:-1.475321,ZAP-70:-1.465891,Mitofusin-1:-1.460273,Akt2:-1.44451,RPA32:-1.427965,MMP14:-1.426788,FTO:-1.424778,EPPK1:-1.4182,Rad23A:1.417403,Mitofusin-2:-1.413557,EVI1:1.397342,LAD1:1.375544,1433ZETA:1.3721,HSP70:-1.3469,SOD1:1.341549,Enolase-1:-1.312706,Aurora-A:-1.304119,TUFM:-1.285321,b-Actin:-1.283889,PLK1:-1.26048,GCN5L2:-1.2581,YTHDF3:-1.252764,PAR:-1.247326,Oct-4:1.23335,Erk5:-1.222812,MSH6:-1.2196,RAD50:-1.218,PERK:-1.210713,SRC:-1.2034,HER2:1.1849,SGK3:-1.17929,ERCC5:1.1758,SMAC:1.1706,DUSP4:-1.1694,CMYC:1.1648,Rheb:1.154469,PREX1:-1.1379,BRAF:-1.1228,IRF1:1.1144,METTL3:-1.106756,BCL2A1:1.0899,ERK2:-1.0822,TRAP1:-1.05236,PARG:-1.038462,GSK3ALPHABETA:-1.0353,MERIT40:1.034309,CHD1L:-1.027873,LC3A-B:1.024104,Cyclophilin-F:0.9949971,DDB-1:-0.9870913,Mcl-1:0.9835127,Cox-IV:0.9710741,KU80:-0.97033,MLKL:-0.9695848,XIAP:-0.9689979,UGT1A:0.9668359
