patient_id,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29,expression_30,expression_31,expression_32,expression_33,expression_34,expression_35,expression_36,expression_37,expression_38,expression_39,expression_40,expression_41,expression_42,expression_43,expression_44,expression_45,expression_46,expression_47,expression_48,expression_49,expression_50,expression_51,expression_52,expression_53,expression_54,expression_55,expression_56,expression_57,expression_58,expression_59,expression_60,expression_61,expression_62,expression_63,expression_64,expression_65,expression_66,expression_67,expression_68,expression_69,expression_70,expression_71,expression_72,expression_73,expression_74,expression_75,expression_76,expression_77,expression_78,expression_79,expression_80,expression_81,expression_82,expression_83,expression_84,expression_85,expression_86,expression_87,expression_88,expression_89,expression_90,expression_91,expression_92,expression_93,expression_94,expression_95,expression_96,expression_97,expression_98,expression_99,expression_100
TCGA-BR-8080,MYH11:12.534,RICTOR:3.4093,CLAUDIN7:3.3616,TIGAR:3.0144,HSP70:2.9735,CAVEOLIN1:2.9584,FASN:-2.382,EMA:-2.151639,ACC1:-2.0639,CD44:1.980635,Vinculin:1.83115,ECADHERIN:-1.7377,RAD51:1.7136,S6:-1.594,ETS1:1.5468,PDH:1.537436,GAPDH:-1.5345,ZAP-70:-1.533516,Histone-H3:-1.522455,NCADHERIN:1.3609,PKCALPHA:1.3,ERALPHA:-1.2821,P21:1.2684,Connexin-43:1.246269,Cyclophilin-F:-1.229212,53BP1:-1.2038,ACSL1:-1.169807,FAK:-1.152671,PDCD4:-1.0829,Oct-4:1.065967,VEGFR2:1.0635,CYCLIND1:1.0499,CD20:1.0223,IGFBP3:1.009641,ALKBH5:-0.9844061,CKIT:0.97805,Rheb:-0.9750703,RBM15:-0.96915,EEF2:-0.95442,ERCC5:-0.95379,CD49B:0.95338,ACVRL1:0.9489,IL-6:0.9478615,RRM2:0.9420457,YTHDF2:-0.9284386,MMP14:-0.9133315,ALPHACATENIN:-0.90427,PAK4:0.8979375,ACETYLATUBULINLYS40:-0.88812,PAICS:-0.8859019,MTSS1:0.8858073,ATM:-0.87753,INPP4B:0.86941,Glutamate-D1-2:-0.8676765,HES1:-0.8559785,SMAC:-0.84458,Lyn:0.8286437,RAB11:0.82485,TFRC:-0.81118,WIPI1:0.8001214,MSH2:-0.78779,BRAF:-0.78324,Hexokinase-II:-0.7762847,PERK:-0.7664665,Akt2:-0.7485479,1433BETA:0.74162,ANNEXIN1:-0.735,RAD50:0.7333,AceCS1:-0.7304455,COLLAGENVI:0.7285,IGFRb:-0.7185335,DDR1:-0.7053315,Tau:-0.6959738,Melanoma-gp100:0.673477,MERIT40:-0.67094,BECLIN:0.66145,FGF-basic:0.6488347,ADAR1:-0.64806,IRS2:0.6473663,MTOR:-0.64199,PARPCLEAVED:-0.63851,P90RSK:-0.63642,JNK2:0.63477,HER3:-0.6339,CD4:-0.6276197,SMAD1:-0.62625,DAPK2:0.6155699,TRAP1:-0.6135127,EIF4G:-0.61103,SGK1:0.610473,IRS1:0.60103,PMS2:-0.5997529,MIF:-0.5973779,STATHMIN:0.59342,HER2:-0.5924,SOD2:0.5913289,BIM:-0.59001,MLH1:-0.5881165,FTO:-0.5819194,Atg7:-0.5803748
TCGA-BR-7722,MYH11:8.7365,RICTOR:3.4107,Vinculin:2.395657,CAVEOLIN1:1.9238,FASN:-1.6838,ERALPHA:-1.4949,ZAP-70:-1.468704,Histone-H3:-1.455269,FAK:-1.415001,ETS1:1.3899,PKCALPHA:1.3818,PDH:1.355772,IGFRb:-1.318142,CKIT:1.2823,UGT1A:1.266574,LAD1:1.260797,ACC1:-1.2516,EEF2K:-1.2506,PDGFRB:1.234069,CYCLINB1:-1.1574,PLK1:-1.152673,FGF-basic:1.131371,ERK2:1.1225,b-Actin:1.120197,INPP4B:1.0498,NQO1:1.026965,EPPK1:1.0174,MTSS1:1.012497,PDCD4:-1.0027,ACSL1:-1.000452,PAICS:-0.9954109,ATRX:-0.9702538,IGFBP3:0.9460543,VASP:0.9366465,EIF4G:-0.91785,EMA:0.9154726,RAB25:0.90906,CD44:0.8964655,PAR:-0.8952969,XPA:-0.8833592,S6:-0.86729,RBM15:-0.85056,JNK2:0.83952,EphA2:0.818142,BAK:-0.8176,53BP1:-0.81334,MSH6:-0.7967,CYCLINE1:-0.79422,P16INK4A:-0.7692,FOXM1:-0.75756,AceCS1:0.7488737,RAD51:0.73548,Slfn11:0.7152093,Wee1:-0.706705,MTCO1:0.7058765,DUSP4:0.69649,CD49B:0.69481,BAP1C4:-0.69125,Lasu1:-0.6740088,IDO:0.6678254,GAPDH:-0.66475,TIGAR:0.66364,ECADHERIN:-0.65881,TRANSGLUTAMINASE:0.65731,CASPASE7CLEAVEDD198:0.64692,Cyclophilin-F:-0.6447269,PERK:-0.6402362,Rheb:-0.6274993,CMYC:-0.62689,IR-b:0.6213295,PARG:-0.6155794,Mcl-1:-0.6151086,ADAR1:-0.59916,ACETYLATUBULINLYS40:-0.59796,DNA-Ligase-IV:0.5924759,CD20:0.59196,HER3:-0.5918,Gli1:0.5859681,ACVRL1:0.55632,p38-a:0.5507831,BRAF:-0.54625,Glucocorticoid-Receptor:0.5452872,GATA3:-0.5429,4EBP1:-0.53908,Lyn:0.5332504,NCADHERIN:0.52689,Tau:0.5195973,P53:-0.50988,COG3:-0.50932,PREX1:0.50732,HLA-DQA1:0.5047876,STAT5ALPHA:0.49904,HER2:-0.49,SIRP-alpha:-0.4819699,SMAD1:-0.48081,MSH2:-0.48014,BRD4:-0.48005,1433BETA:0.47795,SOD1:0.4776029,AKT:0.4767
TCGA-VQ-A91V,MYH11:9.5616,TIGAR:2.964,EMA:2.716066,HSP27:2.54346,LAD1:2.368182,RICTOR:2.3216,SOD1:2.077478,NQO1:2.041455,CLAUDIN7:1.9847,Histone-H3:-1.934771,PAR:-1.922091,GAPDH:-1.8891,EPPK1:1.7963,CMET:1.7666,SNAIL:1.7509,MTCO1:1.73915,ERALPHA:-1.73,Cox-IV:1.623581,ZAP-70:-1.600676,VASP:1.533185,HMHA1:-1.480346,DUSP4:1.447,PARPCLEAVED:1.4061,ERCC1:1.3885,XPA:-1.384284,p38-a:1.323065,IGFBP2:1.2878,PLC-gamma1:-1.276935,MLKL:1.260029,RAB25:1.2509,Hexokinase-II:1.249707,UGT1A:1.203604,Tau:-1.201537,BRD4:-1.1906,VAV1:-1.168136,EVI1:1.152311,RAD50:1.1279,PKCALPHA:1.0993,CAVEOLIN1:1.094,CASPASE8:1.0403,Glucocorticoid-Receptor:-1.015367,WIPI1:1.014647,Cyclophilin-F:0.965491,HLA-DQA1:-0.9627877,FAK:-0.954844,PLK1:0.9220014,IGFRb:-0.8910845,Connexin-43:-0.8776182,Lyn:0.8083628,ACSL1:-0.7939713,MCT4:0.7936426,RB:0.78738,SGK1:0.7664784,AR:-0.76438,SRC:0.75969,PERK:0.7581871,Vinculin:0.7570645,AceCS1:-0.7444539,Stat3:0.7399349,ASNS:0.72975,RAD51:0.71558,SHP2:-0.7117273,MEK1:0.69066,FIBRONECTIN:-0.6855,TRIM25:0.6661627,Puma:-0.6655949,Cyclin-D3:0.6544089,CSK:0.6418102,IDO:0.6315283,PHGDH:0.6297688,Lasu1:-0.6218821,Wee1:-0.6207531,Coup-TFII:0.6192387,WTAP:0.6178007,p44-42-MAPK:0.6083527,1433BETA:0.60383,Oct-4:0.5866553,PI3K-p110-b:0.5834072,DNMT1:-0.5828947,Aurora-A:0.5812805,Grp75:0.5780795,HER3:-0.56443,Enolase-2:-0.5617176,ERCC5:-0.55231,CMYC:-0.55199,PTEN:0.55114,CD49B:0.5458,RBM15:-0.53914,HES1:0.5358582,IRF-3:0.5289886,PHLPP:-0.5264263,PAI1:-0.5241,ATM:0.52126,Erk5:-0.5120707,S6:-0.5097,SDHA:0.5093267,YB1:0.50523,EphA2:0.5015784,EGFR:0.49585,DDB-1:0.4942013
TCGA-BR-8678,IDO:3.494669,BETACATENIN:3.0465,Sox2:2.809942,CASPASE7CLEAVEDD198:2.1923,ERALPHA:-2.0034,PLK1:1.72975,PAR:1.710658,EphA2:1.623167,ZAP-70:-1.592792,EPPK1:1.4431,P16INK4A:1.4121,GAPDH:-1.3615,SYK:1.3113,PDGFRB:1.298433,Histone-H3:-1.196855,LAD1:1.133824,PAI1:1.0626,CYCLINE2:1.011,FAK:-1.008274,HLA-DQA1:-0.9953136,Aurora-A:0.9794089,CD171:0.946721,PDCD4:-0.93543,EEF2K:-0.93343,CLAUDIN7:0.90563,SIRP-alpha:0.8926302,MMP14:0.8912058,SNAIL:0.85245,MCT4:0.8380479,PAK1:0.8088427,CMYC:-0.7814,AceCS1:0.776084,CYCLINB1:0.77532,GCLC:-0.7752243,MYH11:0.77473,RAD51:0.76179,NOTCH1:0.73553,DNMT1:0.7256856,ADAR1:-0.71818,Rheb:-0.7155966,Hexokinase-II:0.7062079,MSH6:0.7049,B7-H3:0.6990147,ACSL1:-0.691313,AR:-0.6892,SGK1:0.6872682,WTAP:0.681361,DUSP4:0.67619,CAVEOLIN1:-0.67219,Glutaminase:0.6703522,TIGAR:0.66866,GATA3:-0.66546,FASN:0.64194,EGFR:-0.63613,VASP:0.6292392,FIBRONECTIN:0.61803,PTEN:0.61079,ATP5H:-0.5911476,SGK3:-0.5902374,CASPASE8:-0.58713,P62LCKLIGAND:-0.58654,DUSP6:0.5843964,CYCLINE1:0.58076,EVI1:-0.5699282,FN14:0.568413,TRIM25:0.5640361,ANNEXIN1:-0.55947,PREX1:0.55617,Stat3:-0.5249211,Creb:-0.5249146,Aurora-B:0.5165455,Coup-TFII:-0.5140824,PDL1:0.51035,TUFM:-0.5072981,YB1:-0.50194,ARID1A:0.49915,Lyn:0.4970806,MERIT40:-0.4951267,PKCALPHA:0.49222,RAD50:0.48886,MTSS1:0.4829778,Granzyme-B:0.4817758,p38-a:0.481216,Wee1:0.478753,SFRP1:-0.4746767,MEK1:0.46833,HSP60:0.4670766,Puma:-0.4581434,XPA:-0.4369514,IGFBP3:0.4344961,B7-H4:-0.4341213,CASPASE3:0.43394,Lasu1:-0.432887,Mcl-1:-0.4316541,FOXM1:0.4283,NDUFB4:-0.4263558,DRP1:0.4251327,Glucocorticoid-Receptor:-0.4240071,BRD4:0.41998,PAX8:-0.4192351
TCGA-VQ-A8E7,MYH11:7.9476,CD171:3.188463,RICTOR:2.6332,MTCO1:2.515062,PAR:-2.116887,Histone-H3:-2.036548,INPP4B:1.6836,ZAP-70:-1.653186,HMHA1:-1.572633,Cox-IV:1.514397,TIGAR:1.471,IDO:1.405461,VAV1:-1.399871,RAB25:1.3426,Glucocorticoid-Receptor:-1.292199,NQO1:-1.268655,PKCALPHA:1.2686,HLA-DQA1:-1.26603,CLAUDIN7:1.2522,ATRX:-1.20483,ERALPHA:-1.202,Tau:-1.176546,LAD1:1.175957,PLC-gamma1:-1.117651,FAK:-1.117526,ACETYLATUBULINLYS40:-1.1115,EPPK1:1.0928,CAVEOLIN1:1.0798,TRAP1:1.059555,HSP60:1.054004,TFAM:1.025984,Wee1:-0.9912279,ERCC1:0.97261,XPA:-0.9655637,AceCS1:0.9514179,VASP:0.9502684,U-Histone-H2B:-0.9444377,RAD51:0.94019,Mitofusin-1:0.9277066,Lasu1:-0.917997,EphA2:0.8983981,Hexokinase-II:-0.8779145,S6:-0.84281,Grp75:0.8347048,RBM15:-0.82921,SMAD1:-0.82555,PAI1:0.82393,GAPDH:-0.82278,Lyn:0.8212516,D-a-Tubulin:0.7866865,SDHA:0.7832611,FOXO3A:0.7735,MMP14:-0.7731819,PERK:-0.7726895,SOD2:0.7659544,AR:-0.76432,IGFBP3:0.7318127,CMYC:-0.73114,PAK1:0.7223625,CD20:0.72136,PHLPP:-0.7123135,IGFRb:-0.7019453,PDCD4:-0.70182,Cyclophilin-F:0.699361,ACSL1:-0.6915335,UGT1A:0.6701992,SHP2:-0.663201,P53:0.65126,DUSP6:-0.6475485,Vinculin:0.6473948,VEGFR2:-0.63951,CD49B:0.6367,EEF2K:-0.62862,YB1:-0.62164,PARPCLEAVED:-0.61193,Stat3:-0.5955219,GCLC:-0.593986,BETACATENIN:-0.58926,ATP5H:-0.5839001,Enolase-1:0.5823883,GRB7:0.575303,MEK1:0.57083,ECADHERIN:-0.56959,Glutaminase:0.5593588,TRIP13:-0.5574611,JNK2:0.5541,BiP-GRP78:0.5534147,ADAR1:-0.55149,CHD1L:-0.5504886,Coup-TFII:-0.5482711,RAD50:0.53941,SMAD3:-0.53333,HER3:-0.52754,NOTCH1:0.52743,WTAP:0.5212655,Cyclin-D3:0.5040733,CASPASE8:-0.49129,SGK3:-0.4865673,TFRC:0.48258,CD38:0.4772734
TCGA-BR-4368,MYH11:11.764,RICTOR:4.6888,CD171:2.599829,CAVEOLIN1:2.5584,ERALPHA:-2.004,Vinculin:1.873411,CD44:1.809595,IDO:1.586304,FASN:-1.5758,EPPK1:1.428,ZAP-70:-1.421706,EphA2:1.415514,NQO1:-1.343856,CASPASE7CLEAVEDD198:1.2946,DUSP4:1.2914,EMA:-1.19444,FAK:-1.170237,PAR:1.159232,WIPI1:1.151889,PDH:1.137695,Histone-H3:-1.129952,ACC1:-1.096,RAD50:1.0679,ETS1:1.0227,Granzyme-B:0.9732268,IGFBP2:-0.96825,PKCALPHA:0.96815,LAD1:0.9575938,CLAUDIN7:0.95112,53BP1:-0.93966,VASP:0.9079836,ACVRL1:0.90712,Rheb:-0.8626422,VEGFR2:0.84666,CD20:0.82476,PMS2:-0.7993337,Connexin-43:0.7786626,PERK:-0.7660815,XPA:-0.7660303,ECADHERIN:-0.74837,STAT5ALPHA:0.73172,Mcl-1:-0.7267253,HSP70:-0.70665,TRANSGLUTAMINASE:0.7049,JNK2:0.7017,Creb:-0.6949098,CD49B:0.69103,ACSL1:-0.689602,GAPDH:-0.68729,MTSS1:0.6871306,CYCLINB1:-0.68613,MEK1:0.67468,MLH1:-0.6680734,Lyn:0.6606646,S100A4:0.6605272,RAD51:0.65622,CMYC:-0.65407,PAK4:0.6490843,P16INK4A:-0.63068,P21:0.62327,MTCO1:0.6195734,S6:-0.61724,SIRP-alpha:0.6140554,ERK2:0.61024,Coup-TFII:-0.6036846,MMP14:-0.5994339,IGFRb:-0.5891382,1433BETA:0.57828,MIF:-0.5750342,AR:-0.5706,HES1:-0.569754,RRM2:0.5688629,CASPASE8:-0.56762,COG3:-0.56493,ATRX:-0.5641454,MLKL:0.5628039,TRAP1:0.5547997,AceCS1:-0.5388341,PDCD4:-0.53753,Hexokinase-II:-0.5356867,SHP2:-0.5333488,cGAS:0.5309767,KAP1:-0.5175199,DNA_POLG:-0.5160713,RPA32:-0.5083409,EEF2K:-0.50597,FTO:-0.5034705,BIM:-0.49278,Puma:-0.4917854,SRC:-0.48939,CKIT:0.48712,ADAR1:-0.48058,SOD2:0.4785065,MSH2:-0.47224,LCK:0.47182,PREX1:0.4682,COLLAGENVI:0.46747,PAX6:0.4673242,CD29:0.4651585,NCADHERIN:0.46419
TCGA-IN-7806,MYH11:7.7286,CD171:3.136928,EPPK1:2.5287,RICTOR:2.3962,TIGAR:2.2904,ERALPHA:-1.6906,IDO:1.628051,ZAP-70:-1.569731,INPP4B:1.5539,Histone-H3:-1.43231,EMA:1.380505,RSK1:1.364392,LAD1:1.364231,UGT1A:1.350298,GAPDH:-1.326,AceCS1:1.27212,FAK:-1.255023,EphA2:1.244984,Connexin-43:-1.227617,FASN:-1.2065,CLAUDIN7:1.1737,SNAIL:1.1665,ERCC5:-1.1423,CAVEOLIN1:1.1344,ACETYLATUBULINLYS40:-1.1199,PKCALPHA:1.1151,RAB25:1.0777,Tau:-1.07077,NQO1:1.041287,S6:-1.0255,ALKBH5:-0.9925239,Rheb:-0.966186,ACC1:-0.95662,Glucocorticoid-Receptor:-0.9531713,53BP1:-0.95077,ACSL1:-0.9461788,Lyn:0.8796017,CYCLINB1:-0.87447,HSP60:0.8718417,BRAF:-0.85869,PDH:0.845254,ECADHERIN:0.83679,TRIP13:-0.8132174,CASPASE7CLEAVEDD198:0.79883,P90RSK:0.78987,Akt2:-0.7896745,SRC:0.78113,Vinculin:0.7776393,BETACATENIN:0.76865,S100A4:0.7653645,Cox2:0.7553358,IGFRb:-0.7517223,VAV1:-0.7411219,c-IAP2:0.7296132,MMP14:-0.7178498,AR:-0.71221,EVI1:0.7105626,ALPHACATENIN:0.70756,ERRalpha:0.7008681,EEF2:-0.69181,IGFBP2:-0.6879,GSK-3B:-0.6777468,HSP70:0.66085,XPA:-0.6590724,FN14:0.6576845,U-Histone-H2B:-0.6324309,EIF4G:-0.6181,SIRP-alpha:0.6170739,AKT:-0.61596,PKA-a:-0.6141183,BECLIN:0.60947,RAB11:0.59128,TFAM:0.5878304,MIF:-0.585431,CYCLINE1:-0.58082,DNA_POLG:0.571049,FTO:-0.561642,Mcl-1:-0.5589727,HMHA1:-0.5589131,CD26:0.5584,P70S6K1:-0.5582,PDGFRB:0.5571328,VASP:0.5528759,PDK1:0.55204,PAR:-0.5507111,IGFBP3:0.5491145,PEA15:-0.53739,BID:-0.537,SMAD1:-0.53216,Granzyme-B:-0.5310844,HLA-DQA1:-0.5270202,CHK2:0.51981,EEF2K:-0.51868,BAX:-0.51692,D-a-Tubulin:0.5039419,HER3:-0.50015,Erk5:-0.498247,BCLXL:-0.495,Jagged1:-0.4921303,ATRX:-0.4897201
TCGA-BR-4267,p38-a:7.48916,CASPASE8:6.5169,HSP27:6.405403,SOD1:6.14262,SNAIL:5.7806,PARPCLEAVED:5.6034,CMET:5.4263,ERCC1:5.0563,RB:4.6619,SMAC:4.6486,Cyclin-D3:3.426337,IDO:2.781385,LAD1:2.531427,EMA:2.529044,SETD2:2.3907,MCT4:2.297349,Connexin-43:-2.251584,EIF4G:-2.2042,SCD1:2.1499,DUSP4:2.0092,RAB25:1.9241,NQO1:1.906852,STING:-1.874988,EPPK1:1.8719,HMHA1:-1.818968,CD49B:1.7721,VAV1:-1.731738,53BP1:-1.7053,CHK2:1.6616,PDCD4:-1.6467,ERALPHA:-1.6265,ZAP-70:-1.619398,MMP14:-1.588755,Erk5:-1.580485,PAXILLIN:-1.5599,ACETYLATUBULINLYS40:-1.5076,PLC-gamma1:-1.492456,EVI1:1.466402,GAPDH:-1.4661,MLH1:1.42891,FN14:1.385923,FAK:-1.301809,BAP1C4:-1.2832,XPA:-1.263457,SOD2:1.250133,TFAM:1.238882,RIP:-1.236447,PDGFRB:-1.181742,CLAUDIN7:1.1673,Mitofusin-2:-1.158779,BRAF:-1.1483,Grp75:1.148233,STAT5ALPHA:-1.1262,ALPHACATENIN:1.1246,VASP:1.120843,MLKL:1.111015,CD38:1.099917,MIF:1.081063,Cyclophilin-F:1.055404,Histone-H3:-1.042106,MTCO1:1.027255,IGFBP2:-1.0166,MYH11:0.98823,IGFRb:-0.9793841,ATRX:-0.9615149,PAK4:0.938153,PTPN12:-0.926338,ATP5A:-0.9253786,P62LCKLIGAND:0.91674,CHK1:0.89875,Wee1:-0.8952109,Enolase-2:-0.8935271,GAB2:-0.87416,ETS1:-0.87246,IRS2:-0.8679601,SRC:0.85895,TRIP13:-0.8551801,PKCALPHA:0.85356,GSK-3B:-0.8394578,EEF2K:-0.82901,4EBP1:0.82773,RBM15:-0.81776,P16INK4A:0.8133,Hexokinase-I:-0.8111494,Glucocorticoid-Receptor:-0.77778,PAX8:-0.7614105,BIM:-0.75302,JNK2:0.75082,VEGFR2:-0.74872,TRAP1:0.7399879,AKT:-0.7398,Cox-IV:0.733755,KAP1:-0.7323163,YTHDF3:-0.7223999,AR:-0.72111,BAX:0.71975,PAR:0.7194653,PLK1:-0.7145243,MEK2:0.7036076,IGFBP3:0.6988809
TCGA-VQ-A8PK,MYH11:5.7079,HSP27:3.941692,SOD1:3.559736,p38-a:3.234884,CMET:2.8081,SNAIL:2.7953,PARPCLEAVED:2.4156,XPA:-2.094803,CASPASE8:2.0915,CASPASE7CLEAVEDD198:2.0683,PAR:-2.064571,EMA:2.035131,Histone-H3:-1.966611,MTCO1:1.864851,GAPDH:-1.7293,EPPK1:1.7058,RB:1.6688,RICTOR:1.6646,BRD4:-1.5021,Connexin-43:-1.473584,Cyclin-D3:1.468752,ZAP-70:-1.46423,AceCS1:1.413534,ERALPHA:-1.3651,EphA2:1.329885,IDO:1.243752,FN14:1.241772,TIGAR:1.1882,FAK:-1.157092,GCLC:1.112704,UGT1A:1.088285,NQO1:1.045778,Patched:1.043811,PKCALPHA:1.0306,SMAC:0.99355,ACETYLATUBULINLYS40:-0.98408,SMAD1:-0.9719,53BP1:-0.95138,DUSP4:0.9412,RAD51:0.9346,Puma:-0.9301329,IGFRb:-0.9247427,Cox-IV:0.9181031,Rheb:-0.9083028,LAD1:0.8623382,SETD2:0.8531,AR:-0.85119,ERCC1:0.84783,BAK:-0.83376,EVI1:0.8329129,IGFBP3:0.8240967,WIPI1:0.7656886,SMAD3:-0.74754,Wee1:-0.7376842,FASN:-0.72405,CYCLINE1:0.70924,Hexokinase-II:0.7063485,Akt2:-0.6934114,YB1:-0.67267,Tau:-0.6705795,ASNS:0.66439,ACSL1:-0.660612,PLC-gamma1:-0.652202,BIM:-0.65033,PDH:0.648678,ALKBH5:-0.6482624,ERK2:-0.64718,S6:-0.63999,c-IAP2:0.6385959,ATRX:-0.6317321,CYCLINE2:-0.62016,PAX8:-0.6146196,Lyn:0.6119585,BiP-GRP78:0.6065929,P16INK4A:0.59237,UBAC1:-0.5864612,FOXO3A:0.5802,BCLXL:-0.57389,SHP2:-0.5711245,RBM15:-0.56565,Enolase-2:-0.5513464,CKIT:0.55017,HMHA1:-0.5371696,HSP60:0.535144,KAP1:-0.5276998,PEA15:-0.51844,STAT5ALPHA:0.51667,PTEN:0.5111,VASP:0.5088152,PAI1:0.49639,IRS2:-0.4933428,EIF4G:-0.492,ETS1:-0.49131,PARG:-0.4899707,BAX:-0.48857,Mcl-1:-0.4789983,VAV1:-0.4758395,PHLPP:-0.4752183,HLA-DQA1:-0.4738811,YTHDF3:-0.4731528
TCGA-CG-5733,IDO:6.018024,EMA:3.341339,CLAUDIN7:2.6864,EPPK1:2.2298,CASPASE7CLEAVEDD198:2.1027,PLC-gamma1:-2.007678,ERALPHA:-1.8303,PDCD4:-1.8051,DUSP4:1.7905,VASP:1.779459,MTCO1:-1.769848,ZAP-70:-1.7207,53BP1:-1.6924,EIF4G:-1.6553,TIGAR:1.5991,Connexin-43:-1.582726,STING:-1.565525,HMHA1:-1.557489,VAV1:-1.548608,NQO1:1.536069,XPA:-1.467429,PKCALPHA:1.4221,CD44:1.390777,S100A4:1.353564,Lasu1:-1.343419,MYH11:1.3176,PMS2:-1.310552,EEF2K:-1.2976,Glucocorticoid-Receptor:-1.258647,PAXILLIN:-1.1869,Histone-H3:-1.181248,SNAIL:1.1758,IRF-3:1.16811,MEK2:1.156672,Lyn:1.153333,IGFRb:-1.149595,EphA2:1.142076,SOD1:1.13983,SGK3:-1.137652,RBM15:-1.12,SIRP-alpha:-1.09975,Granzyme-B:1.099304,TRAP1:1.095996,HER2:-1.0925,IRS2:-1.092226,CYCLINB1:1.0819,FAK:-1.074911,BAP1C4:-1.0679,BETACATENIN:-1.067,Enolase-2:-1.046487,INPP4B:1.0445,ACETYLATUBULINLYS40:-1.0436,c-IAP2:1.036031,D-a-Tubulin:1.024007,MLKL:1.013003,PAR:-0.9996371,S6:-0.98722,ECADHERIN:-0.98311,BRAF:-0.96966,GAB2:-0.96415,SHP2:-0.9583622,Hexokinase-I:-0.9576169,BAX:0.94979,ASNS:0.94522,VHL:0.8792921,Cox-IV:0.877627,ACSL1:-0.876073,Cyclophilin-F:0.8654716,ALPHACATENIN:0.8652,CD49B:0.8596,MSH6:-0.85828,PREX1:0.84656,CD171:0.8464913,GCLC:-0.8451775,LAD1:0.8380337,SOD2:0.8313551,MEK1:0.83083,Myt1:0.8259363,BRD4:-0.81865,MCT4:0.8120215,FN14:0.8117051,KU80:-0.79776,Enolase-1:0.7946899,Atg5:0.7935616,CD38:0.7858075,ATRX:-0.775495,WIPI1:-0.7744903,FIBRONECTIN:0.75918,METTL3:-0.746181,AR:-0.73137,CD86:0.7279094,PTPN12:-0.7130158,PI3K-p110-b:0.7088051,MLH1:-0.7057482,4EBP1:0.70499,ANNEXIN1:0.69896,PARG:-0.6923015,STAT5ALPHA:-0.69133,RAD51:0.6911,P38MAPK:0.68647
